threshold,n_remaining,r2_full,adj_r2,rmse_full,q2_loo,rmse_loo,mae_loo,pcc_loo,delta_r2_q2
90%,33,0.76,0.735,34.674,0.71,38.129,31.236,0.843,0.05
80%,32,0.755,0.729,35.181,0.702,38.788,32.107,0.838,0.053
70%,29,0.73,0.698,35.425,0.655,40.08,32.691,0.811,0.075
60%,26,0.785,0.756,31.907,0.715,36.748,30.251,0.847,0.07
50%,15,0.72,0.644,34.831,0.582,42.585,35.361,0.77,0.138
