tax_id,halophilic
1983719,TRUE
375,TRUE
520,TRUE
34015,TRUE
155322,TRUE
1982610,TRUE
270250,TRUE
1432564,TRUE
518,TRUE
45462,TRUE
64104,TRUE
123899,TRUE
1423,TRUE
33889,TRUE
291188,TRUE
561879,TRUE
803,TRUE
2069301,TRUE
519,TRUE
135461,TRUE
151419,TRUE
1255616,TRUE
1255705,TRUE
267745,TRUE
1262550,TRUE
151416,TRUE
382640,TRUE
83428,TRUE
564287,TRUE
128782,TRUE
94624,TRUE
1685,TRUE
492670,TRUE
56055,TRUE
236402,TRUE
207949,TRUE
426757,TRUE
51101,TRUE
33942,TRUE
56361,TRUE
47847,TRUE
84757,TRUE
278990,TRUE
1349751,TRUE
556288,TRUE
35814,TRUE
33047,TRUE
1393,TRUE
232259,TRUE
208480,TRUE
418643,TRUE
291187,TRUE
33046,TRUE
119858,TRUE
43669,TRUE
398518,TRUE
270249,TRUE
219301,TRUE
999,TRUE
53364,TRUE
416230,TRUE
426756,TRUE
661979,TRUE
40933,TRUE
173959,TRUE
151454,TRUE
225845,TRUE
108015,TRUE
394098,TRUE
358099,TRUE
1216982,TRUE
260553,TRUE
2757,TRUE
1176492,TRUE
1904756,TRUE
74325,TRUE
293,TRUE
57975,TRUE
28095,TRUE
419474,TRUE
506594,TRUE
121620,TRUE
266123,TRUE
75697,TRUE
152480,TRUE
76861,TRUE
200475,TRUE
95486,TRUE
28230,TRUE
337,TRUE
571256,TRUE
94627,TRUE
179879,TRUE
1349759,TRUE
292,TRUE
266130,TRUE
1121281,TRUE
1121274,TRUE
181073,TRUE
101571,TRUE
2541728,TRUE
170994,TRUE
60547,TRUE
74315,TRUE
1004,TRUE
194702,TRUE
509190,TRUE
559956,TRUE
74312,TRUE
95485,TRUE
485918,TRUE
1265502,TRUE
419475,TRUE
1449337,TRUE
74326,TRUE
479117,TRUE
104663,TRUE
74329,TRUE
69395,TRUE
155892,TRUE
41899,TRUE
129052,TRUE
1711,TRUE
1710,TRUE
76594,TRUE
172043,TRUE
190650,TRUE
629680,TRUE
219707,TRUE
1386082,TRUE
152500,TRUE
60550,TRUE
59600,TRUE
1449978,TRUE
424488,TRUE
1305856,TRUE
29529,TRUE
74313,TRUE
196367,TRUE
311234,TRUE
1712,TRUE
215590,TRUE
43670,TRUE
169176,TRUE
300419,TRUE
412034,TRUE
174587,TRUE
2751,TRUE
1305868,TRUE
76862,TRUE
53366,TRUE
553178,TRUE
1758721,TRUE
76595,TRUE
87883,TRUE
1714,TRUE
979,TRUE
266748,TRUE
43765,TRUE
2486005,TRUE
1717,TRUE
28258,TRUE
119863,TRUE
2486006,TRUE
236814,TRUE
295069,TRUE
160396,TRUE
1862358,TRUE
626937,TRUE
53374,TRUE
1121319,TRUE
682973,TRUE
1909267,TRUE
112234,TRUE
1055104,TRUE
1121355,TRUE
223900,TRUE
1304281,TRUE
1121357,TRUE
631455,TRUE
1348662,TRUE
204089,TRUE
285,TRUE
243365,TRUE
1874630,TRUE
2282766,TRUE
553385,TRUE
191610,TRUE
253,TRUE
117506,TRUE
77524,TRUE
178337,TRUE
38284,TRUE
225992,TRUE
2486009,TRUE
333702,TRUE
2801451,TRUE
265291,TRUE
161896,TRUE
2175229,TRUE
169292,TRUE
78329,TRUE
489142,TRUE
2486004,TRUE
141390,TRUE
86179,TRUE
160825,TRUE
2486003,TRUE
225991,TRUE
163202,TRUE
1812821,TRUE
469383,TRUE
2486008,TRUE
329858,TRUE
158899,TRUE
245294,TRUE
191863,TRUE
2486007,TRUE
460870,TRUE
1431546,TRUE
1662055,TRUE
38286,TRUE
649754,TRUE
36808,TRUE
525263,TRUE
38289,TRUE
134034,TRUE
39791,TRUE
187491,TRUE
525262,TRUE
28028,TRUE
1223514,TRUE
225326,TRUE
35755,TRUE
38290,TRUE
152794,TRUE
61592,TRUE
161879,TRUE
38288,TRUE
2079234,TRUE
1718,TRUE
43767,TRUE
29321,TRUE
43769,TRUE
38304,TRUE
413502,TRUE
68895,TRUE
942865,TRUE
82633,TRUE
38301,TRUE
1765746,TRUE
43771,TRUE
313588,TRUE
413503,TRUE
119219,TRUE
1705,TRUE
2035,TRUE
62629,TRUE
41988,TRUE
43770,TRUE
146827,TRUE
203264,TRUE
1610489,TRUE
86182,TRUE
1121365,TRUE
1724,TRUE
1314753,TRUE
2036,TRUE
161902,TRUE
1408433,TRUE
33881,TRUE
1121366,TRUE
161895,TRUE
1159554,TRUE
33010,TRUE
89154,TRUE
195930,TRUE
69373,TRUE
1159613,TRUE
82541,TRUE
65058,TRUE
1336244,TRUE
130796,TRUE
151783,TRUE
320787,TRUE
1725,TRUE
1349762,TRUE
150122,TRUE
2080757,TRUE
525268,TRUE
151654,TRUE
1350429,TRUE
156976,TRUE
159612,TRUE
43355,TRUE
1703339,TRUE
1223512,TRUE
1884992,TRUE
1747,TRUE
164546,TRUE
38302,TRUE
1719,TRUE
80879,TRUE
504474,TRUE
1573172,TRUE
577470,TRUE
37734,TRUE
1835608,TRUE
1121902,TRUE
84521,TRUE
223556,TRUE
191302,TRUE
1429043,TRUE
546274,TRUE
68910,TRUE
471854,TRUE
238,TRUE
1351,TRUE
45663,TRUE
110321,TRUE
1328930,TRUE
53345,TRUE
1349750,TRUE
684663,TRUE
1121413,TRUE
172045,TRUE
319970,TRUE
1121385,TRUE
247,TRUE
926556,TRUE
36740,TRUE
610254,TRUE
44008,TRUE
665550,TRUE
214095,TRUE
322596,TRUE
913829,TRUE
1915059,TRUE
2047966,TRUE
106592,TRUE
505694,TRUE
499555,TRUE
29394,TRUE
326320,TRUE
311235,TRUE
1027633,TRUE
328396,TRUE
319795,TRUE
983873,TRUE
1140002,TRUE
282305,TRUE
194963,TRUE
2047730,TRUE
158892,TRUE
317010,TRUE
1158603,TRUE
292807,TRUE
1670831,TRUE
2559925,TRUE
1453587,TRUE
2030798,TRUE
1123320,TRUE
57732,TRUE
36856,TRUE
110322,TRUE
2043170,TRUE
1169286,TRUE
243230,TRUE
1201292,TRUE
1355,TRUE
380,TRUE
382,TRUE
1352,TRUE
1131292,TRUE
1353,TRUE
1080227,TRUE
94137,TRUE
332950,TRUE
459525,TRUE
182136,TRUE
1044,TRUE
562,TRUE
2483811,TRUE
71452,TRUE
1737353,TRUE
246144,TRUE
196588,TRUE
493781,TRUE
