tax_id,thermophilic
1215031,TRUE
78345,TRUE
173363,TRUE
35841,TRUE
2770096,TRUE
520,TRUE
2306974,TRUE
208480,TRUE
52764,TRUE
111504,TRUE
1221996,TRUE
803,TRUE
56055,TRUE
999,TRUE
236402,TRUE
92181,TRUE
2316383,TRUE
128782,TRUE
774,TRUE
123899,TRUE
2052941,TRUE
219301,TRUE
382640,TRUE
51101,TRUE
2652445,TRUE
47845,TRUE
519,TRUE
270250,TRUE
2306972,TRUE
2306975,TRUE
124225,TRUE
35814,TRUE
2306973,TRUE
360411,TRUE
223788,TRUE
47847,TRUE
1550728,TRUE
1984871,TRUE
375,TRUE
2306976,TRUE
110578,TRUE
43992,TRUE
155194,TRUE
155322,TRUE
156892,TRUE
1685,TRUE
78346,TRUE
84757,TRUE
165694,TRUE
155192,TRUE
108015,TRUE
1548890,TRUE
33939,TRUE
291186,TRUE
1765219,TRUE
109472,TRUE
564287,TRUE
1216982,TRUE
215590,TRUE
278990,TRUE
768670,TRUE
1707527,TRUE
1125967,TRUE
53364,TRUE
33942,TRUE
301953,TRUE
94627,TRUE
83828,TRUE
447595,TRUE
671077,TRUE
1121256,TRUE
1703,TRUE
1263962,TRUE
2496837,TRUE
45462,TRUE
927786,TRUE
199591,TRUE
54911,TRUE
1393,TRUE
1304284,TRUE
1222016,TRUE
1247960,TRUE
251051,TRUE
933949,TRUE
391358,TRUE
301148,TRUE
1387557,TRUE
44256,TRUE
200415,TRUE
119072,TRUE
1507437,TRUE
2806205,TRUE
225845,TRUE
693075,TRUE
1644118,TRUE
1653476,TRUE
53363,TRUE
911092,TRUE
351627,TRUE
448141,TRUE
1674942,TRUE
293,TRUE
2741433,TRUE
260553,TRUE
200475,TRUE
173959,TRUE
444091,TRUE
1387555,TRUE
187145,TRUE
160792,TRUE
632518,TRUE
111519,TRUE
859243,TRUE
232444,TRUE
751586,TRUE
1246530,TRUE
413889,TRUE
170994,TRUE
1121917,TRUE
133453,TRUE
296745,TRUE
2699430,TRUE
1265502,TRUE
52023,TRUE
1007087,TRUE
699281,TRUE
937334,TRUE
