tax_id,psychrophilic
95485,TRUE
292,TRUE
33889,TRUE
74312,TRUE
53363,TRUE
83828,TRUE
195,TRUE
196,TRUE
172043,TRUE
200475,TRUE
571256,TRUE
94626,TRUE
863522,TRUE
33942,TRUE
199591,TRUE
152500,TRUE
337,TRUE
215590,TRUE
419475,TRUE
1703,TRUE
278990,TRUE
28095,TRUE
169176,TRUE
360054,TRUE
74329,TRUE
74313,TRUE
91353,TRUE
419474,TRUE
1408360,TRUE
170994,TRUE
28898,TRUE
74311,TRUE
293,TRUE
57975,TRUE
41899,TRUE
1031564,TRUE
173959,TRUE
1176492,TRUE
60550,TRUE
1007087,TRUE
199,TRUE
152480,TRUE
101571,TRUE
179879,TRUE
200,TRUE
32020,TRUE
76517,TRUE
94627,TRUE
1265502,TRUE
196367,TRUE
1449978,TRUE
751586,TRUE
2029869,TRUE
32019,TRUE
95486,TRUE
87883,TRUE
75658,TRUE
32024,TRUE
202,TRUE
86179,TRUE
1386082,TRUE
300419,TRUE
304895,TRUE
295069,TRUE
75697,TRUE
53366,TRUE
1859201,TRUE
206,TRUE
1683161,TRUE
979,TRUE
129052,TRUE
1121274,TRUE
67829,TRUE
141390,TRUE
889247,TRUE
1710,TRUE
204089,TRUE
76862,TRUE
155892,TRUE
1758721,TRUE
64323,TRUE
253,TRUE
266748,TRUE
545,TRUE
190650,TRUE
1639133,TRUE
160396,TRUE
1972202,TRUE
1073423,TRUE
67825,TRUE
35703,TRUE
144055,TRUE
546,TRUE
236814,TRUE
121620,TRUE
444444,TRUE
43670,TRUE
1305856,TRUE
194702,TRUE
1335309,TRUE
141389,TRUE
303118,TRUE
204,TRUE
76861,TRUE
67824,TRUE
158484,TRUE
1004,TRUE
1813611,TRUE
509190,TRUE
1121281,TRUE
158823,TRUE
1304281,TRUE
104663,TRUE
311234,TRUE
1071719,TRUE
266749,TRUE
264297,TRUE
442733,TRUE
57706,TRUE
551459,TRUE
28080,TRUE
536979,TRUE
1711,TRUE
485918,TRUE
243365,TRUE
178337,TRUE
205328,TRUE
67827,TRUE
517723,TRUE
67826,TRUE
43765,TRUE
704125,TRUE
1504,TRUE
285,TRUE
1590652,TRUE
1612,TRUE
351628,TRUE
1778406,TRUE
132925,TRUE
1477021,TRUE
205327,TRUE
133448,TRUE
1121356,TRUE
1513592,TRUE
28229,TRUE
83526,TRUE
53374,TRUE
2163172,TRUE
265291,TRUE
238834,TRUE
66219,TRUE
56799,TRUE
132926,TRUE
1967665,TRUE
469383,TRUE
225992,TRUE
1285583,TRUE
2486007,TRUE
1431546,TRUE
52704,TRUE
191610,TRUE
198347,TRUE
71254,TRUE
117506,TRUE
44750,TRUE
205326,TRUE
160825,TRUE
78329,TRUE
38285,TRUE
443253,TRUE
99807,TRUE
1423720,TRUE
360422,TRUE
77524,TRUE
1121355,TRUE
1423770,TRUE
1348662,TRUE
163202,TRUE
211668,TRUE
161896,TRUE
38284,TRUE
2486006,TRUE
1909267,TRUE
548476,TRUE
1121354,TRUE
169292,TRUE
1121350,TRUE
329858,TRUE
89402,TRUE
1697,TRUE
2486003,TRUE
1602,TRUE
1888913,TRUE
194326,TRUE
