ID,designation_header,strain_number_header,is_type_strain_header,species,pH
24258,GW9-2,"DSM 45699, CGMCC 4.7023, NRRL B-24873, JCM 30781",1,"Nocardiopsis fildesensis",9
11234,,"DSM 45031, CGMCC 4.3500, HBUM 20038, JCM 15475",1,"Nocardiopsis ganjiahuensis",9
11235,,"DSM 45023, CGMCC 4.2135, HBUM 20028, JCM 16800",1,"Nocardiopsis valliformis",9.5-13
23737,A21,"DSM 28042, JCM 17251, NCIMB 14685, BCRC 80660",1,"Oceanobacillus indicireducens",10
1380,A1g,"DSM 24772, CGMCC 1.7693, JCM 15776, BCRC 80658, KCTC 13886",1,"Oceanobacillus neutriphilus",>9.5
134115,R-2,"JCM 12661, NCIMB 14022, BCRC 17790, CGMCC 1.8877, CIP 108867",1,"Oceanobacillus oncorhynchi",09-10
,,,,,9.5
1374,20AG,"DSM 16557, ATCC BAA-954, CIP 109235",1,"Oceanobacillus oncorhynchi subsp. incaldanensis",9.0
133964,SA9,"JCM 17252, NCIMB 14684, DSM 107338, BCRC 80661",1,"Oceanobacillus polygoni",9
6279,K22-20,"DSM 17687, JCM 12763, MTCC 6545, CGMCC 1.6491, CIP 109338",1,"Ornithinimicrobium kibberense",9
11599,,"DSM 18201, CIP 109026, JCM 13186, MTCC 6934, GPTSA 11, BCRC 17546, KCTC 13627",1,"Paenibacillus assamensis",9.4
7597,AG31,"DSM 15454, CIP 108593, LMG 21914, JCM 13568, IAM 15315",1,"Paeniglutamicibacter psychrophenolicus",9
13692,C6/19,"DSM 14782, NCAIM B02025, CCUG 54624, CIP 107962",1,"Pannonibacter phragmitetus",9-10
13690,C6/8,"DSM 14780, NCAIM B02027",0,"Pannonibacter phragmitetus",9-10
13691,C6/17,"DSM 14781, NCAIM B02026",0,"Pannonibacter phragmitetus",9-10
133350,,"DSM 101189, LMG 29163, STM 7183",1,"Paraburkholderia piptadeniae",9
13727,B7,"DSM 19484, JCM 15119, KCTC 22049, BCRC 80158",1,"Paracoccus aestuarii",9
13729,SW-3,"DSM 22220, BCRC 17967, LMG 25205",1,"Paracoccus isoporae",9.5
133854,Tibet-S9a3,"CGMCC 1.8925, NBRC 105667",1,"Paracoccus tibetensis",9.5
1438,"M1, R-35644","DSM 9572, LMG 23032",1,"Parageobacillus thermantarcticus",9.0
1430,"KP 1006, R-35637, NRS-81","DSM 2542, ATCC 43742, NCIB 11955, CCUG 28887, NRRL B-14233, CIP 106930, NRRL B-14516, NCIMB 11955",1,"Geobacillus thermoglucosidasius",9.0
1449,"R-35642, SK-1","DSM 14590, KCTC 0306BP, LMG 23037, CIP 108270",1,"Parageobacillus toebii",>9.0
140458,126C4,"KCTC 33762, MCCC 1H00136",1,"Paraliobacillus sediminis",9
141039,Bps-1,"JCM 31808, NCIMB 15080",1,"Paralkalibacillus indicireducens",9-10
8214,A3F-7,"DSM 19956, MBIC 06429",1,"Paramoritella alkaliphila",9
133113,,"LMG 29684, CCM 8689",1,"Pedobacter jamesrossensis",10
,,,,,11
,,,,,9
133008,V5RD,"DSM 103236, CGMCC 1.15644",1,"Pedobacter psychrotolerans",9
5398,MSW-14,"DSM 21428, KCTC 22370, UCCCB27",1,"Pelagerythrobacter marensis",11.1
158129,Hp12,"DSM 104963, CECT 9367",1,"Pelagibaculum spongiae",10
1404,Z-7984,"DSM 13869, UNIQEM 216",1,"Pelagirhabdus fermentum",9.0
158859,"V44.8, V44-8","DSM 105192, ATCC BAA-2860",1,"Peribacillus glennii",9
158858,V47-23a,"DSM 105190, ATCC BAA-2861",1,"Peribacillus saganii",9
132519,,"DSM 101529, CGMCC 4.7225, KCTC 39701, EGI 80629, JCM 32495",1,"Phytoactinopolyspora alkaliphila",9-10
360,K110,"DSM 23373, JCM 14330, KCTC 12838, CCUG 56486",1,"Pigmentiphaga daeguensis",9.5
158688,LCB217,"CGMCC 1.15685, KCTC 33861",1,"Planococcus salinus",9
133209,In2-9,"JCM 30831, NCIMB 14982",1,"Polygonibacillus indicireducens",10
166346,BT214,"KCTC 72359, NBRC 114377",1,"Pontibacter pudoricolor",9.5
133191,KYW1030,"KACC 18739, JCM 31319",1,"Pontibacter rugosus",11
158576,,"KEMB 9005-328, JCM 31499, Yeonmyeong 2-22",1,"Qipengyuania algicida",9
159756,PX7,"KCTC 42952, MCCC 1H00196",1,"Primorskyibacter marinus",9
,,,,,9.5
130974,"HM 533","DSM 45485, CECT 8709, UTMC 00533, UTMC 533",1,"Promicromonospora kermanensis",11
1208,mcha2343,"DSM 14890, CIP 108363, LMG 19507",1,"Pseudalkalibacillus decolorationis",9.0
140699,OCN003,"CCOS 1042, CIP 111189",1,"Pseudoalteromonas piratica",10.5
133214,E3/2,"LMG 29678, CCM 8698, DSM 103461, CIP 111103",1,"Duganella danionis",9
12800,,"DSM 50071, ATCC 10145, ICPB 2523, NCIB 8295, NCTC 10332, NRRL B-771, WDCM 00024, JCM 5962, BCRC 10944, CCEB 481, CCM 1960, CCUG 28447, CCUG 551, CECT 110, CGMCC 1.1785, CIP 100720, IAM 1514, IFO 12689, IFO 3756, KCTC 1750, LMG 1242, NBRC 12689, NBRC 3756, NCDO 1369, NCIMB 8295, NCPPB 1965, IMET 10403, CCM 481, VKM B588, CIP 63.52",1,"Pseudomonas aeruginosa",9
158812,M5,"CCTCC AB 2017186, KCTC 62119, CICC 24308",1,"Pseudomonas profundi",9
13521,,"DSM 21936, ATCC BAA-1525, JCM 14783, JAMM 0394",1,"Psychromonas japonica",9
134356,,"JCM 14786, ATCC BAA-1528, JAMM 0738",1,"Psychromonas ossibalaenae",9
17650,,"DSM 26450, JCM 14086, KCCM 42343, NBRC 101964, IMCC 1545",1,"Puniceicoccus vermicola",9
170906,"JKLM 12A2","MCC 3961, KACC 21380, JCM 33658",1,"Rhizobium indicum",9
76,5420S-30,"DSM 19363, KACC 12521, UCCCB24, CIP 110193",1,"Muricoccus aerilatus",9.0
158669,N53,"MCCC 1H00200, KCTC 52886",1,"Roseovarius salinarum",9
1225,TF-12,"DSM 16205, JCM 11545, KCCM 41589, CIP 108136",1,"Rossellomorea aquimaris",9.0
166400,Pan54,"DSM 29369, LMG 29789",1,"Rubinisphaera italica",9
133634,,"KCTC 22684, KCCM 42930, NBRC 105825, IMCC 4453, UCCCB35",1,"Saccharospirillum aestuarii",12.0
166089,CPA1,"UCCCB45, CECT 9131, LMG 29516",0,"Saccharospirillum correiae",11.5
24542,YIM-Y25,"DSM 19800, KCTC 22169, CCTCC AA 207033, UCCCB26",1,"Saccharospirillum salsuginis",10.0
132669,MB27,"DSM 46885, CECT 9045",1,"Saccharothrix isguenensis",10
13789,"E 37, E-37","DSM 11524, ATCC 700073, CIP 105237, CIP 105724",1,"Sagittula stellata",9.5
1276,CM1,"DSM 21621, CGMCC 1.6134, JCM 14087, CIP 109642",1,"Salibacterium qingdaonense",9
133151,JC304,"KCTC 33661, LMG 28757",1,"Salinicoccus amylolyticus",9
166091,CPA62,"UCCCB97, CECT 9339, LMG 30108",1,"Salinicola aestuarinus",10.0
166092,CPA92,"UCCCB98, CECT 9340, LMG 30109",1,"Salinicola endophyticus",10.0
166090,CPA60,"UCCCB96, CECT 9338, LMG 30107",1,"Salinicola halimionae",10.0
132891,CG4.1,"DSM 14325, CECT 5903, LMG 23626, UCCCB105, CG 4.1, CIP 109715",1,"Salinicola halophilus",9.0
166093,CR45,"UCCCB99, CECT 9341, LMG 30105",1,"Salinicola halophyticus",10.0
166094,CR50,"UCCCB100, CECT 9342, LMG 30106",1,"Salinicola lusitanus",10.0
6080,M27,"DSM 18044, CIP 109895, KCTC 12664, UCCCB106",1,"Salinicola salarius",10.0
24097,N4,"DSM 22730, CCTCC AB 2012912, KACC 16602, UCCCB108",1,"Salinicola zeshunii",9.0
140829,S9,"KCTC 33633, LMG 28644",1,"Salipaludibacillus aurantiacus",9
23763,halo-1,"DSM 28389, CGMCC 1.7653, NBRC 104934",1,"Salsuginibacillus halophilus",9
132680,3b,"DSM 100013, JCM 30645",1,"Serpentinicella alkaliphila",9.5
156380,,"CCUG 61398, UCCCB111, SLU AS13, AS 13",0,"Serratia plymuthica",10.0
140724,M23,"KCTC 52219, JCM 31889",1,"Silanimonas algicola",9-10
133213,KC90B,"DSM 103371, RCC 4681",1,"Silicimonas algicola",9.5
1220,R-6540,"DSM 16013, CIP 108820, LMG 22081",1,"Siminovitchia farraginis",9.0
1221,R-7190,"DSM 16014, CIP 108821, LMG 22080",1,"Siminovitchia fordii",9.0
1219,R-6514,"DSM 16012, CIP 108822, LMG 22079",1,"Siminovitchia fortis",9
158203,"MC 3718","DSM 107189, CCTCCAB 2014274, LMG 28636",1,"Sphingoaurantiacus polygranulatus",9.0
159719,X1-8,"KCTC 62032, CGMCC 1.16275",1,"Sphingomonas tabacisoli",9
14338,ASpC2,"DSM 23605, ATCC BAA-1083, JCM 12856",1,"Spirochaeta dissipatitropha",10
133359,JBM2-3,"KCTC 52176, JCM 31298",1,"Spirosoma swuense",9
140528,LZ2,"KACC 18822, MCCC 1K03174",1,"Sporosarcina terrae",9-10
140359,BII-R7,"DSM 103927, CECT 9180, LMG 29893",1,"Stenotrophomonas bentonitica",12
132060,"WS 40","DSM 28278, LMG 29942, CIP 111742",1,"Stenotrophomonas indicatrix",10
14845,2923-03,"DSM 23759, CCUG 55896, CECT 7374",1,"Streptococcus porci",9.6
167266,OF1,"MCC 3841T, MTCC 12906T, PCM 3001, NCIMB 15195, MCC 3841, MTCC 12906",1,"Streptomyces alkaliterrae",9
159629,HST21,"DSM 107267, CECT 9647",1,"Streptomyces altiplanensis",9.0-11.0
16326,,"DSM 41683, ATCC 15484, IAM 6A-704, IFO 3934, JCM 4053, KCC S-0053, NBRC 3934, NRRL B-2347, CGMCC 4.1918, CIP 106838, KCTC 1089, NRRL B-3306, VTT E-072759",1,"Streptomyces angustmyceticus",09-10
164410,ZFG47,"JCM 32897, CICC 11050",1,"Streptomyces cadmiisoli",11
16179,,"DSM 41427, AS 4.1861, IFO 13977, JCM 4550, KCC S-0550, NBRC 13977, NCIB 9752, NRRL 2666, CGMCC 4.1861, CGMCC 4.1915, CIP 106836, NCIMB 10502, NCIMB 9752, NRRL ISP-5087",1,"Streptomyces decoyicus",09-10
158796,JBL-20,"KACC 18269, NBRC 110629",1,"Streptomyces fuscigenes",11.0
134317,,"DSM 41914, ATCC 53653",1,"Streptomyces himastatinicus",11
132670,S4702,"DSM 42103, CGMCC 4.7357, KCTC 29206",1,"Streptomyces ovatisporus",11
,,,,,12
133137,PL19,"NRRL B-24728, ICMP 17783",1,"Streptomyces pini",11
132381,169,"DSM 45455, CCUG 62974, MTCC 11561",1,"Streptosporangium algeriense",9
161997,RCRI19,"JCM 17277, KCTC 23724, LMG 25773, UCCCB39, BCCM/LMG 25773",1,"Tabrizicola aquatica",9.0
140937,TT1,"JCM 18659, BCRC 80493",1,"Tagaea marina",10
5258,"Jenil, JS","CCUG 52901, DSM 16501, KCTC 3924, LMG 22864, JCM 18085, CIP 108884, NBRC 106072",1,"Tetragenococcus koreensis",9
167510,ISS155,"CECT 9533, LMG 31237, ISS 155",1,"Thalassocella blandensis",10
11666,KWC4,"DSM 18247, JCM 13945",1,"Thermobacillus composti",9
23771,E173a,"DSM 24978, NCIMB 14849",1,"Thermolongibacillus kozakliensis",9
17068,RKU-1,"DSM 13995, JCM 10881, ATCC BAA-488",1,"Thermotoga petrophila",9.5
133741,HL-EbGr7,"NCCB 100376, UNIQUEM U246",1,"Thioalkalivibrio sulfidiphilus",10
11931,SVAL-E,"DSM 13458, ATCC 700955",1,"Thiomicrorhabdus arctica",9
11932,SVAL-D,"DSM 13453, ATCC 700954",1,"Thiomicrorhabdus psychrophila",9
11910,AL3,"DSM 13739, CBS 100465",1,"Thiomicrospira aerophila",10.6
,,,,,9.8-10.0
11912,,"DSM 14477, JCM 11371, ALM 1",1,"Thiomicrospira cyclica",10.6
,,,,,9.5
11913,ASL8-2,"DSM 17327, UNIQEM U242",1,"Thiomicrospira microaerophila",10
,,,,,9
11911,AL7,"DSM 13740, NCCB 100000",1,"Thiomicrospira sibirica",10.6
,,,,,9.8-10.0
140546,JA878,"KCTC 15531, JCM 31245",1,"Thiorhodococcus alkaliphilus",10-11
158379,B5,"DSM 104692, KCTC 33885",1,"Trichococcus alkaliphilus",9.0
158378,B7-2,"DSM 104691, KCTC 33886",1,"Trichococcus paludicola",9.0
1396,TH9A,"DSM 12654, LMG 19470, CIP 107065",1,"Ureibacillus terrenus",9.0
1394,"p-11, HAMBI:1900","DSM 10633, HAMBI 1900, CIP 104857, KCTC 13004",1,"Ureibacillus thermosphaericus",9.0
3017,BAM-48,"DSM 21722, KCTC 22010, NBRC 103145, JCM 18805, NCIMB 14573, BAM 48",1,"Variovorax boronicumulans",10.0
141169,"A-T 7972","BCC 50981, TBRC 6031, NBRC 112512, DSM 114116",1,"Micromonospora grosourdyae",9-10
22931,J18,"DSM 26676, JCM 16994, KACC 14624",1,"Virgibacillus alimentarius",10.0
1487,,"DSM 19574, JCM 14839, HAL Hal1, HAL 1",1,"Virgibacillus arcticus",10.0
1488,YIM-kkny16,"DSM 17056, CGMCC 1.6298, JCM 16510",1,"Virgibacillus kekensis",10.0
1485,"E30 8, E<SUB>3</SUB><SUB>0</SUB> 8","DSM 18098, JCM 30551, LMG 23503, CECT 7163",1,"Virgibacillus olivae",10.0
1476,C-20Mo,"DSM 11483, ATCC 700290, CCM 4646, JCM 30552, CCUG 52350, CIP 105608, KACC 10867, KACC 14582, KCTC 3704, KCTC 3844, LMG 21520",1,"Virgibacillus salexigens",11.0
1489,,"DSM 19797, CCTCC AA 207023, KCTC 13193, YIM kkny3",1,"Virgibacillus sediminis",10.0
1494,CC-YMP-6,"DSM 22952, CCM 7714, CCUG 58580, CIP 110293",1,"Virgibacillus soli",10.0
166530,IMT-291,"LMG 30636, CIP 111625, CCM 8858, IMT 291",1,"Xinfangfangia humi",9.5
158389,K13,"DSM 29793, NCAIM B.02605",1,"Xylanibacillus composti",10
166095,22II14-10F7,"UCCCB103, CGMCC 1.12470, LMG 27421, MCCC 1A06481",1,"Zunongwangia atlantica",9.0
140678,CPA58,"CECT 9128, LMG 29517, UCCCB46",1,"Zunongwangia endophytica",9.0
24050,P2E16,"DSM 24499, KCTC 23496, LMG 26237, UCCCB40",1,"Zunongwangia mangrovi",9.0
