ID,designation_header,strain_number_header,is_type_strain_header,species,pH
7853,PS7-2,"DSM 45793, BCC 41921, NBRC 107932",1,"Asanoa siamensis",9
166448,M2BS4Y-1,"KCTC 62837, CGMCC 1.13747",1,"Aureimonas flava",11
534,CW5,"DSM 21987, JCM 14755, KCTC 12893",1,"Aureimonas frigidaquae",11.0
533,5715S-12,"DSM 18598, CIP 109815, KACC 11607",1,"Aureimonas ureilytica",9.0
7792,,"DSM 45359, CCUG 57943, JCM 19109, IMMIB L-1656",1,"Auritidibacter ignavus",9
158725,AK73,"JCM 32184, MTCC 12637, KCTC 33880",1,"Alkalihalobacillus alkalilacus",9
134104,,"ATCC BAA-922, LMG 22234, LBB 3",1,"Alkalihalobacterium bogoriense",10
1280,m4-4,"DSM 25608, CECT 7197, NRRL B-41737",1,"Bacillus coahuilensis",9.0
158648,Bf-1,"JCM 31807, NCIMB 15079",1,"Mesobacillus fermenti",10
166102,YSP-3,"ACCC 60365, KCTC 33934",1,"Alteribacter lacisalsi",9
158731,AK74,"MTCC 12638, KCTC 33946, JCM 32185",1,"Metabacillus lacus",9
134281,YN-1,"JCM 14604, NCIMB 14282, LMG 24733",1,"Evansella polygoni",9
159795,AK72,"MTCC 12636, KCTC 33981, JCM 32183",1,"Bacillus shivajii",9
158609,,"KCTC 33703, CGMCC 1.15917, EGI 80668",1,"Evansella tamaricis",9
162511,TS-T86,"JCM 19468, CGMCC 1.12479, UCCCB124",1,"Belliella aquatica",9.0
132193,No.164,"DSM 46651, CECT 8551, UCCCB125",1,"Belliella kenyensis",10.0
23454,"A2-16, A2_16","DSM 25172, LMG 26944",1,"Blastocatella fastidiosa",10
140974,T2,"KCTC 42354, JCM 30467, DSM 112298",1,"Blastomonas fulva",9
1770,2017-12,"DSM 11294, CCUG 39178, HKI 88, JCM 11479, ATCC 700413, CIP 105404, NBRC 106158, HKI 0088",1,"Allobogoriella caseilytica",9-10
1786,BI-42,"DSM 9653, CCUG 55771, ATCC 700366",1,"Bosea thiooxidans",9.0
132661,KWS-1,"DSM 28796, JCM 30059, MTCC 11836",1,"Brachybacterium aquaticum",11
159799,M1HQ-2,"KCTC 49087, CGMCC 1.16391, JCM 33403",1,"Brachybacterium endophyticum",12
1812,BTA-1,"DSM 16623, ATCC BAA-1002, CFNE 1008, LMG 22265",1,"Bradyrhizobium canariense",9
1814,2281,"DSM 24092, CECT 4845, USDA 3622",1,"Bradyrhizobium liaoningense",10
1865,SST-8,"DSM 19451, KCCM 42316, NRRL B-41420, JCM 14546",1,"Brevibacterium samyangense",9-10.1
1884,SCII24,"DSM 13340, NBRC 102585, CCUG 47104, LMG 18957, UCCCB44",1,"Brucella tritici",9.0
1222,AM-001,"DSM 16130, JCM 10596, CIP 109019",1,"Caldalkalibacillus mannanilyticus",9
2369,69B4,"DSM 16987, CIP 108683, JCM 30720",1,"Cellulomonas bogoriensis",9.5
2376,Kc5,"DSM 24482, JCM 17534, NBRC 109435",1,"Cellulomonas oligotrophica",9
133658,A6,"TISTR 1915, KCTC 5874",1,"Cellulosibacter alkalithermophilus",9.5
1652,TE2,"DSM 6462, ATCC 51531",1,"Chelatococcus asaccharovorans",9.5
1654,K106,"DSM 22069, CCUG 54519, KCTC 12979",1,"Chelatococcus daeguensis",10.0
,,,,,10.5
140684,J15A17,"KCTC 33759, MCCC 1H00137",1,"Chengkuizengella sediminis",9
10523,c14,"DSM 21506, BCRC 17533, LMG 23346",1,"Chitinilyticum aquatile",9
17750,JS13-10,"DSM 24787, JCM 15440, KACC 12952, NBRC 106412, UCCCB101",1,"Chitinophaga niabensis",9.0
17918,Sh2,"DSM 24830, JCM 16494, KMM 3898, NRIC 0757",1,"Cocleimonas flava",9
158653,SB30-Chr27-3,"CIP 111491, CCM 8815, DSM 106034",1,"Comamonas aquatilis",11.5
164661,184-8,"JCM 33821, CCM 8895, KCTC 21131, LMG 31050, NCIMB 15152",1,"Companilactobacillus baiquanensis",11
164662,116-2,"JCM 33822, CCM 8899, KCTC 21124, LMG 31051, NCIMB 15158",1,"Companilactobacillus kedongensis",11
164665,33-7,"JCM 33825, CCM 8936, KCTC 21118, LMG 31166, NCIMB 15153",1,"Companilactobacillus keshanensis",11
164660,256-3,"JCM 33820, CCM 8901, LMG 31048, NCIMB 15160",1,"Companilactobacillus mishanensis",11
164658,M1575,"JCM 33818, CCM 8892, LMG 31045, NCIMB 15149",1,"Companilactobacillus zhongbaensis",11
133399,26D10-3-4,"CFCC 12725, KCTC 33575",1,"Corticicoccus populi",10
3240,"MFC-5, CGMCC-2452","CCUG 59866, CGMCC 2452, DSM 45392, NBRC 106098",1,"Corynebacterium humireducens",9
140355,FJAT-25547,"DSM 101002, CCTCC AB 2015208",1,"Cytobacillus praedii",9
1904,K107,"DSM 21779, CCUG 54520, KCTC 12981",1,"Daeguia caeni",9.5
141115,BM2,"KEMB 5401-184, JCM 30700",1,"Deinococcus actinosclerus",9
3855,AG-3a,"DSM 11300, CIP 105573",1,"Deinococcus geothermalis",9.0
3858,ALT-1b,"DSM 11303, CCUG 50777, CIP 105574",1,"Deinococcus murrayi",10.5
133269,KSY3-6,"KCTC 33787, JCM 31313",1,"Deinococcus persicinus",10
158572,KJ1-10-99,"LMG 29918, KCTC 33878",1,"Desertibacillus haloalkaliphilus",9
133076,,"DSM 29990, UNIQEM U994, Acr 1",1,"Desulfitispora elongata",9.3-9.5
130283,APS1,"DSM 24258, UNIQEM U900",1,"Desulfobulbus alkaliphilus",9.4
4159,RT2,"DSM 16529, JCM 12612",1,"Alkalidesulfovibrio alkalitolerans",9-9.4
130281,APT2,"DSM 24257, UNIQEM U853",1,"Desulfonatronobacter acidivorans",10
133075,ASO3-2,"DSM 100427, UNIQEM U993",1,"Desulfonatronospira sulfatiphila",9.0-10.3
,,,,,9.7-10.0
4034,Z-7935,"DSM 9292",1,"Desulfonatronovibrio hydrogenovorans",10.2
,,,,,9.5-9.7
158308,PAR180,"DSM 103602, JCM 31598",1,"Desulfonatronum parangueonense",9
4064,,"DSM 14708, ATCC BAA-395, MLF 1, CIP 107913",1,"Desulfonatronum thiodismutans",9.5
133408,S37,"TBRC 5145, LMG 29420",1,"Devosia elaeis",9
164191,DM2,"JCM 32096, BCRC 81069",1,"Dongshaea marina",10
4279,WN22,"DSM 21381, VKM B-2479",1,"Ectothiorhodospira variabilis",9.25
141132,,"CGMCC 1.14997, KCTC 39588, EGI 80759",1,"Egibacter rhizosphaerae",9.0-10.0
140805,,"LMG 29231, HAMBI 3645, CCBAU 23380",1,"Ensifer glycinis",10
,,,,,9
166242,63-4,"NCIMB 15178, CCM 8922",1,"Enterococcus dongliensis",11
166241,190-7,"NCIMB 15200, CCM 8949",1,"Enterococcus hulanensis",11
5342,"TP 1.5","DSM 15952, CCUG 50447, LMG 22039, CIP 108583",1,"Enterococcus italicus",9.6
5362,BT159,"DSM 23655, LMG 25958",1,"Enterococcus lactis",9.6
166240,94-2,"NCIMB 15180, CCM 8920, LMG 31180",1,"Enterococcus nangangensis",11
164673,241-2-2,"JCM 33833, CCM 8921, LMG 31181, NCIMB 15185",1,"Enterococcus pingfangensis",11
5361,C27,"DSM 26408, CCM 7889, LMG 26214",1,"Enterococcus plantarum",9.6
132142,"strain 1971","DSM 102982, CCM 4630, CCUG 61593, LMG 26678",1,"Enterococcus rotai",9.6
164674,85-4,"JCM 33834, CCM 8923, LMG 31183, NCIMB 15179",1,"Enterococcus songbeiensis",11
132143,,"DSM 102981, CCM 4629, CCUG 48799, LMG 26676",1,"Enterococcus ureilyticus",9.6
1242,N-4,"DSM 2522, ATCC 21833, FERM P-1141, JCM 9156, CIP 109017, FERM 1141",1,"Evansella cellulosilytica",9-10
,,,,,9.5
24783,12/1,"DSM 21148, CCM 8459",1,"Exiguobacterium alkaliphilum",9.5
141069,IEB3,"JCM 30817, NCIMB 14984",1,"Fermentibacillus polygoni",10
141133,4-T-2,"LMG 28257, CCTCC AB 2014004",1,"Flavobacterium collinsense",9
140383,JM-222,"DSM 100397, CCM 8610, LMG 28821, CIP 111493, CIP 110906",1,"Flavobacterium gossypii",11
140564,R-10-9,"JCM 31673, KACC 18997, KEMB 9005-447",1,"Flavobacterium olei",10-12
158536,HibF3,"LMG 29831, JCM 31735",1,"Floricoccus penangensis",9
158537,DF1,"LMG 29833, JCM 31733",1,"Floricoccus tropicus",9
133112,BMG5.1,"CECT 9032, DSM 100624",1,"Frankia coriariae",9.5
7502,E1HC-02,"DSM 17894, JCM 13598, CIP 109654",1,"Frondihabitans australicus",9.1
5993,"Z-7100, Z7100","DSM 24880, VKM B-2667",1,"Fuchsiella alkaliacetigena",9
