ID,designation_header,strain_number_header,is_type_strain_header,species,Temperature
143,WH120,"DSM 25248, LMG 26244, NCCB 100371, VKM B-2677",1,"Acidicapsa ligni",10
137426,,"CIP 104766, ATCC 19703, NCIMB 8345",0,"Acidithiobacillus thiooxidans",10
,,,,,5
2900,P1G31,"DSM 16745, CFBP 3232, CCUG 64016, CIP 107058",1,"Acidovorax anthurii",10
,,,,,5
2891,,"DSM 7227, ATCC 19860, ICMP 3183, ICPB PA117, NCPPB 1011, CCUG 15838, LMG 2117, CIP 106500, JCM 20985, CFBP 2425, IAM 13658",1,"Acidovorax avenae",10
,,,,,5
134564,"B 385","CIP 106434, CCUG 15837, ATCC 19307, LMG 2281, ICMP 254, NCPPB 920",0,"Acidovorax avenae",10
,,,,,5
2902,,"DSM 17101, ATCC 33619, CFBP 2423, ICMP 2826, ICPB PC21, LMG 2364, NCPPB 961, NRRL B835, CCUG 21975, NRRL B-835, CIP 106435, LMG 5286",1,"Acidovorax cattleyae",10
,,,,,5
138350,,"CIP 106437, CCUG 11056, LMG 7166",0,"Acidovorax delafieldii",10
,,,,,5
138351,,"CIP 106438, CCUG 11062, LMG 7168",0,"Acidovorax delafieldii",5
2888,,"DSM 649, ATCC 11228, CCUG 2113, LMG 6221, LMG 2193, CCM 4561, CIP 103302, NCIMB 9938",1,"Acidovorax facilis",5
2893,K2,"DSM 7481, ATCC 33996, CCUG 17394, ICMP 7733, LMG 5691, JCM 2397, CIP 106439, CFBP 4460, NCPPB 3698",1,"Acidovorax konjaci",10
,,,,,5
135927,,"CIP 106433, CCUG 15836, LMG 1806, NCPPB 1392, ATCC 19882, ICMP 3960, CFBP 2426",0,"Acidovorax oryzae",10
,,,,,5
2892,,"DSM 7270, ATCC 49665, CCUG 11779, LMG 7169, CIP 103457, CCM 4562",1,"Acidovorax temperans",10
,,,,,5
138352,,"CIP 106440, CCUG 10556, LMG 6437",0,"Acidovorax temperans",10
,,,,,5
2899,,"DSM 16619, CFBP 4730, NCPPB 4283, CIP 107997",1,"Acidovorax valerianellae",5
8093,"2208, 81","DSM 30007, ATCC 19606, CIP 70.34, DSM 6974, JCM 6841, CCUG 19096, CGMCC 1.6769, IAM 12088, KCTC 2508, LMG 1041, LMG 10545, NBRC 109757, NCIMB 12457, NCTC 12156",1,"Acinetobacter baumannii",10
8095,,"DSM 30011, ATCC 23220, NCIMB 8208, NRRL B-551, CIP 68.38, LMG 1049, NCDO 709",0,"Acinetobacter baumannii",10
132687,"Piéchaud 5377, Piéchaud strain Rochefort","DSM 105126, ATCC 17978, CIP 53.77, LMG 1025, NCDC KC755, Bouvet and Grimont 8",0,"Acinetobacter baumannii",10
134623,,"CIP 70.9, ATCC 15150",0,"Acinetobacter baumannii",10
134820,,"CIP 70.24, ATCC 9955",0,"Acinetobacter baumannii",10
