ID,designation_header,strain_number_header,is_type_strain_header,species,Temperature
136823,X86,"CIP 61.20, NBIMCC 151, CCUG 723, LMG 3439, IAM 12598, JCM 20674, GIFU 1055",0,"Achromobacter xylosoxidans",45
136824,51.83,"CIP 100029",0,"Achromobacter xylosoxidans",45
136825,,"CIP 71.33, JCM 9660, ATCC 27062, IAM 12685, LMG 3429, NCTC 10808",0,"Achromobacter xylosoxidans",45
136827,11.83,"CIP 100005",0,"Achromobacter xylosoxidans",45
136839,232-86,"CIP 102274",0,"Achromobacter xylosoxidans",45
136840,503-86,"CIP 102498",0,"Achromobacter xylosoxidans",45
136847,1032-85,"CIP 102041",0,"Achromobacter xylosoxidans",45
136851,93.9,"CIP 104044",0,"Achromobacter xylosoxidans",45
136857,,"CIP 100697",0,"Achromobacter xylosoxidans",45
136859,762-85,"CIP 101902",0,"Achromobacter xylosoxidans",45
136861,93.3,"CIP 104045",0,"Achromobacter xylosoxidans",45
136863,76.80,"CIP 105843",0,"Achromobacter xylosoxidans",45
136867,253-86,"CIP 102288",0,"Achromobacter xylosoxidans",45
136868,111-86,"CIP 102198",0,"Achromobacter xylosoxidans",45
136869,,"CIP 103961, ATCC 9220, NCTC 8764, CCUG 2349, LMG 3512, LMG 3468",0,"Achromobacter xylosoxidans",45
136870,28443,"CIP 103938",0,"Achromobacter xylosoxidans",45
137238,205-86,"CIP 102236",0,"Achromobacter xylosoxidans",45
137436,618-86,"CIP 102630",0,"Achromobacter xylosoxidans",45
137451,761-86,"CIP 102744",0,"Achromobacter xylosoxidans",45
137546,21-87,"CIP 102768",0,"Achromobacter xylosoxidans",45
137633,1030-85,"CIP 102062",0,"Achromobacter xylosoxidans",45
138417,126-87,"CIP 102864",0,"Achromobacter xylosoxidans",45
297,KM543,"DSM 2402, ATCC 27061, DSM 10346, NRRL 84082, CCUG 56438, CIP 71.32, NCTC 10807, LMG 1863, CCM 2741, IFO 15126, NCIMB 12033, JCM 9659, CCUG 12689, CECT 467, CECT 927, IAM 12684, NBRC 15126, NRRL B-4082, NCIB 12033",1,"Achromobacter xylosoxidans subsp. xylosoxidans",45
16643,,"DSM 3772, JCM 9191, LEI 10",1,"Acidianus ambivalens",80
16640,,"DSM 1651, IFO 15269, NBRC 15269",1,"Acidianus brierleyi",70
16641,Sp3a/1,"DSM 6334",0,"Acidianus brierleyi",75
130738,,"DSM 29038, ALE 1",0,"Acidianus copahuensis",70
131324,RZ1,"DSM 29099, JCM 30227",0,"Acidianus copahuensis",65
16642,So4a,"DSM 3191, NBRC 106462, JCM 8955, IFO 15270, NBRC 15270",1,"Acidianus infernus",85
,,,,,88
16644,JP7,"DSM 18786, JCM 13667",1,"Acidianus sulfidivorans",70
164162,,"JCM 31946",0,"Sulfoacidibacillus thermotolerans",45
79,Y008,"DSM 16953",1,"Acidicaldus organivorans",50
17799,1904,"DSM 11585, ATCC BAA-268, JCM 11320",1,"Acidilobus aceticus",80
17800,345-15,"DSM 16705, JCM 18335, VKM B-2471",1,"Acidilobus saccharovorans",80
106,ICP,"DSM 10331, NBRC 103882, JCM 15462",1,"Acidimicrobium ferrooxidans",45
,,,,,45.0-50.0
26,Lhet2,"DSM 2389, ATCC 33463, JCM 21277, IAM 14719, IFO 14242, NBRC 14242, NCIMB 11690",1,"Acidiphilium cryptum",47
5460,BH2,"DSM 16651, JCM 13668",1,"Acidiplasma cupricumulans",55
17890,IC-180,"DSM 45281, JCM 15389",1,"Aciditerrimonas ferrireducens",50
126,KU,"DSM 8584, ATCC 51756",1,"Acidithiobacillus caldus",45
130,HV2/2,"DSM 24413",0,"Acidithiobacillus sp.",45
140650,11B,"ATCC 43068",1,"Acidothermus cellulolyticus",55
139828,11B,"DSM 8971, ATCC 43068",0,"Acidothermus cellulolyticus",55
23434,T469,"DSM 19572",1,"Aciduliprofundum boonei",70
8095,,"DSM 30011, ATCC 23220, NCIMB 8208, NRRL B-551, CIP 68.38, LMG 1049, NCDO 709",0,"Acinetobacter baumannii",45
136439,Ab41,"CIP 105742",0,"Acinetobacter baumannii",45
8126,B2,"DSM 14961, CIP 107474, CCUG 50765, CCM 7195",1,"Acinetobacter baylyi",45
8125,A7,"DSM 14959, CIP 107476",0,"Acinetobacter baylyi",45
8127,C5,"DSM 14963, CIP 107473",0,"Acinetobacter baylyi",45
8145,69,"DSM 25435, ATCC 17924, CIP 70.12, LMG 1003, NIPH 521, CCUG 26493, ATCC 13702, NCIMB 9019",1,"Acinetobacter bereziniae",45
8131,"4BO2, 4B02","CCUG 50766, DSM 14964, CIP 107468, JCM 18991, CCM 7196, GTC 3697, KCTC 12414, NBRC 112580",1,"Acinetobacter bouvetii",45
8057,,"DSM 30006, ATCC 23055, CIP 81.08, CIP 81.8, LMD 22.16, CCUG 12804, LMG 1046, IFO 13718, Delft L360, JCM 6842, CECT 441, IAM 12087, KCTC 2357, LMG 10511, NBIMCC 3730, NBRC 13718, NCCB 22016, NCIMB 10694, NCTC 12983, VTT E-981117, LMD 98116",1,"Acinetobacter calcoaceticus",45
8054,HO1-N,"DSM 1139, NCIB 9205, CCUG 3352, ATCC 14987, LMG 1056, CIP 66.33, NCIMB 9205",0,"Acinetobacter calcoaceticus",45
135231,,"CIP 103625, ATCC 49137",0,"Acinetobacter calcoaceticus",45
141331,,"CCUG 887, ATCC 17905, NCTC 10304, CIP 64.2, CNCTC 7582, NIPH 1860",0,"Acinetobacter colistiniresistens",45
172848,,"CIP A162, ATCC 17968",0,"Acinetobacter genomospecies",45
172849,,"CIP 70.19, ATCC 17984",0,"Acinetobacter genomospecies",45
8132,"9AO1, 9A01","DSM 14967, CIP 107464, CCM 7197",1,"Acinetobacter gerneri",45
8097,O1,"DSM 590, ATCC 11171, CCUG 2491, CIP 63.46, LMG 988, NCIB 8250, NCIMB 8250",1,"Acinetobacter guillouiae",45
8073,A23,"DSM 14960, CIP 107475",0,"Acinetobacter guillouiae",45
8092,2446/60,"DSM 6962, ATCC 17906, CIP 64.3, NCTC 10305, CCUG 888, KCTC 12404, CCM 2358, LMG 996, NCIMB 12458",1,"Acinetobacter haemolyticus",45
134500,,"CIP 70.14, ATCC 17913, LMG 1001, NCIMB 9116",0,"Acinetobacter haemolyticus",45
134819,,"CIP 70.13, ATCC 17912, NCTC 8698, NCIMB 9115",0,"Acinetobacter haemolyticus",45
135337,BM2685,"CIP 103939",0,"Acinetobacter haemolyticus",45
135428,,"CIP 53.67",0,"Acinetobacter haemolyticus",45
135441,,"CIP 53.71",0,"Acinetobacter haemolyticus",45
137423,,"CIP 53.112",0,"Acinetobacter haemolyticus",45
137495,,"CIP 64.4, ATCC 17907, NCTC 10306, CCUG 891",0,"Acinetobacter haemolyticus",45
137522,,"CIP 70.27, ATCC 19194",0,"Acinetobacter haemolyticus",45
138101,,"CIP 53.143",0,"Acinetobacter haemolyticus",45
138560,,"CIP 53.116, ATCC 17977",0,"Acinetobacter haemolyticus",45
138823,,"CIP 55.105",0,"Acinetobacter haemolyticus",45
139050,,"CIP 70.26, ATCC 19002",0,"Acinetobacter haemolyticus",45
139156,,"CIP 53.111",0,"Acinetobacter haemolyticus",45
139170,,"CIP 53.115",0,"Acinetobacter haemolyticus",45
8088,3865/60,"DSM 6963, ATCC 17909, CIP 64.6, NCTC 10308, CCUG 19095, NCTC 12154, LMG 999, NCIMB 12460",1,"Acinetobacter johnsonii",45
8074,"5BO2, 5B02","DSM 14965, CIP 107467",0,"Acinetobacter johnsonii",45
134821,A3,"CIP 70.23, ATCC 17946",0,"Acinetobacter johnsonii",45
135772,,"CIP A171",0,"Acinetobacter johnsonii",45
137449,,"CIP 77.14",0,"Acinetobacter johnsonii",45
137950,,"CIP 102272",0,"Acinetobacter johnsonii",45
138558,,"CIP 70.16, ATCC 17923, LMG 1002, NCIMB 9018",0,"Acinetobacter johnsonii",45
138934,,"CIP 68.41, ATCC 9036, IAM 1517, LMG 983, NCDO 715, NCIMB 8154, JCM 20194, NBRC 102197",0,"Acinetobacter johnsonii",45
8086,64.5,"DSM 6964, ATCC 17908, NCTC 10307, CCUG 889, KCTC 12406, CIP 64.5, CCM 2376, LMG 998, NCIMB 12459",1,"Acinetobacter junii",45
8087,17AO4,"CCUG 50767, DSM 14968, CIP 107470, CCM 7198",0,"Acinetobacter junii",45
135965,,"CIP 51.35",0,"Acinetobacter junii",45
137127,,"CIP 70.25, ATCC 19001",0,"Acinetobacter junii",45
137401,,"CIP 55.115",0,"Acinetobacter junii",45
139457,,"CIP 51.14",0,"Acinetobacter junii",45
134901,705-86,"CIP 102725",0,"Acinetobacter lwoffii",45
135761,2,"CIP 55.102",0,"Acinetobacter lwoffii",45
135764,,"CIP 55.113",0,"Acinetobacter lwoffii",45
137338,,"CIP 70.20, ATCC 17985, NCDC KC 764",0,"Acinetobacter lwoffii",45
137455,,"CIP 55.112",0,"Acinetobacter lwoffii",45
137771,,"CIP 101718",0,"Acinetobacter lwoffii",45
138338,11.976,"CIP 54.98",0,"Acinetobacter lwoffii",45
138411,,"CIP 100598",0,"Acinetobacter lwoffii",45
139049,,"CIP 70.36, ATCC 17987, NCTC 5867",0,"Acinetobacter lwoffii",45
139604,,"CIP 102136",0,"Acinetobacter lwoffii",45
139605,,"CIP 64.7, ATCC 17910, NCTC 10309",0,"Acinetobacter lwoffii",45
139606,,"CIP 70.31, ATCC 9957, CCUG 61662, LMG 985, CNCTC Mi 3/65",0,"Acinetobacter lwoffii",45
139612,,"CIP 101966",0,"Acinetobacter lwoffii",45
173156,,"CIP 70.17, ATCC 17925, LMG 1004, NCIMB 9020",0,"Acinetobacter lwoffii",45
8139,,"DSM 16617, CCM 7030, CCUG 48866, LMG 21765, NIPH 384, LUH 4616, CIP 108168",1,"Acinetobacter parvus",45
134448,2288,"CIP 102129",0,"Acinetobacter parvus",45
139613,,"CIP 102529",0,"Acinetobacter parvus",45
173376,,"CIP 102159",0,"Acinetobacter parvus",45
173377,,"CIP 102637",0,"Acinetobacter parvus",45
8146,,"CCUG 61664, NCDC KC739, DSM 25618, ATCC 19004, CIP 70.29, LMG 1035, NIPH 519, RUH 2206",1,"Acinetobacter pittii",45
141511,,"CCUG 2490, CIP 70.15, ATCC 17922, NCIMB 9017",0,"Acinetobacter pittii",45
173486,,"CIP 52.90",0,"Acinetobacter pittii",45
8096,FO-1,"DSM 6976, ATCC 43998, IAM 13186, CCUG 56440, CIP 103788, LMG 10613, JCM 9326, NBRC 102413, NCIMB 12753",1,"Acinetobacter radioresistens",45
8134,,"DSM 16038, CNCTC 6736, LMG 19576, NIPH 1034, CCUG 45560, KCTC 12409, CIP 107287, LUH 5832",1,"Acinetobacter schindleri",45
139607,,"CIP 101934",0,"Acinetobacter schindleri",45
8068,"BD 413 ivl-10","DSM 587, ATCC 33308, CIP 104004",0,"Acinetobacter sp.",45
139608,,"CIP 56.2",0,"Acinetobacter sp.",45
141333,,"CCUG 996, CIP 70.18, NCDC KC727, ATCC 17988, LMG 1031",0,"Acinetobacter higginsii",45
144769,,"CCUG 26492, ATCC 13704, ATCC 17979, CIP A165",0,"Acinetobacter sp.",45
8133,4N13,"DSM 14970, CIP 107469, CCM 7199",1,"Acinetobacter tandoii",45
8130,7N16,"DSM 14971, CIP 107465, CCUG 50768, CCM 7200",1,"Acinetobacter tjernbergiae",45
8129,"7BO2, 7B02","DSM 14966, CIP 107466",0,"Acinetobacter tjernbergiae",45
8123,AB1110,"DSM 14962, CIP 107472, CCUG 50769, CCM 7201",1,"Acinetobacter towneri",45
8124,"2NO1, 2N01","DSM 14969, CIP 107471",0,"Acinetobacter towneri",45
8135,,"CCUG 45559, ATCC BAA-617, KCTC 12410, CCM 7024, CIP 107286, DSM 16037, CNCTC 6735, LMG 19575, NIPH 137, LUH 3792",1,"Acinetobacter ursingii",45
13192,"Y388=As 4.1159, Y-388","DSM 43889, IFO 14455, IMET 43868, JCM 6095, NBRC 14455, NRRL B-16252, CGMCC 4.1159, CIP 106755, KCCM 12121, VKM Ac-1271, AS 4.1159",1,"Actinoalloteichus caeruleus",45
11688,"P. 907","DSM 22258, ATCC 13376, CCUG 24862, CIP 107664, MCCM 00398, CCM 5500, Wetmore 1706, HIM 1034-2",1,"Actinobacillus arthritidis",45
11676,"11-61, P243","DSM 19761, ATCC 51571, CCUG 12396, CIP 103283, NCTC 11408",1,"Actinobacillus capsulatus",45
11671,M906/93,"CCUG 41362, CIP 106129, NCIMB 13567, DSM 11374, NCTC 12870",1,"Actinobacillus delphinicola",45
11690,"F 154, 8-11272","DSM 22436, CCUG 19799, NCTC 13195, CIP 107709",1,"Actinobacillus equuli subsp. haemolyticus",45
11677,"12, P 578, P578","DSM 22262, ATCC 49457, CCUG 19800, CIP 102631, NCTC 11529",1,"Actinobacillus hominis",45
135429,"P581, 15, CNPA69","CIP 104138",0,"Actinobacillus hominis",45
135430,"P573, CNPA70, 8","CIP 104139",0,"Actinobacillus hominis",55
11685,46KC2,"DSM 22264, CCUG 39029, CIP 105316",1,"Actinobacillus indolicus",45
137916,"120-86, 0897 POU","CIP 102180",0,"Actinobacillus lignieresii",45
138198,"NM305, NM 305","CIP 105314, CCUG 38923, DSM 113419",1,"Actinobacillus minor",45
136802,"HK 407","CIP 107724, ATCC 27090, CCM 5871",0,"Haemophilus pleuropneumoniae",45
11684,"NM319, NM 319","DSM 22435, CCUG 38924, CIP 105315",1,"Actinobacillus porcinus",45
173546,192,"CIP 102634, ATCC 27072, CCM 5946, NCTC 10801",1,"Actinobacillus rossii",45
11683,"5, A51 and A65, K3844/C","DSM 22263, ATCC 15768, CCUG 27187, CIP 102633, NCTC 10851, Simmons K3844-C",1,"Actinobacillus seminis",45
11687,130Z,"DSM 22257, ATCC 55618, CCUG 43843, CIP 106512",1,"Actinobacillus succinogenes",45
139346,"PG97-2(2), 9642367","CIP 105099",0,"Actinobacillus suis",45
11670,3520/59,"DSM 5568, ATCC 25976, NCTC 10219, CCUG 2139, CIP 62.8, CCM 5774",1,"Actinobacillus ureae",45
144,,"DSM 20639, ATCC 33144, CCUG 19206, CIP 105361, LMG 18291, Soltys 50052",1,"Actinobaculum suis",45
135256,101342,"CIP 107936",1,"Actinobaculum timonae",45
13206,"YU 961-1","DSM 44650, IFO 16518, NBRC 16518, JCM 11646, CIP 107896",1,"Actinokineospora auranticolor",45
13205,"YU 924-101","DSM 44649, IFO 16517, NBRC 16517, JCM 11647, CIP 107895",1,"Actinokineospora enzanensis",45
16998,WCC-2265,"DSM 45195, BCC 72026, CCUG 56181, NBRC 105837, JCM 17316, TBRC 4745",1,"Actinomadura keratinilytica",45
176922,"TA 86","DSM 44376",0,"Actinomadura keratinilytica",45
133428,BC44T-5,"FIRDI 002, BCRC 16873, LMG 24335, JCM 16702, NCIMB 14658",1,"Actinomadura miaoliensis",45
160668,"TA 113","DSM 44378",0,"Actinomadura miaoliensis",45
176921,"TA 114","DSM 44379",0,"Actinomadura miaoliensis",45
158374,SDA37,"DSM 108648, KCTC 39965, NBRC 112909, TISTR 2523",1,"Actinomadura rhizosphaerae",45
166237,,"LMG 30035, CECT 9808, ATCC 53664",1,"Actinomadura roseirufa",45
161877,,"JCM 16836",0,"Actinomadura sp.",55
164697,,"JCM 3396, BCRC 13423, IFO 14486, NBRC 14486, VKM Ac-2001",0,"Actinomadura sp.",50
164699,,"JCM 3397, IFO 14485, NBRC 14485",0,"Actinomadura sp.",50
16968,,"DSM 44433, IFO 14480, IMET 9742, INMI 187, JCM 3398, JCM 7346, ATCC 33925, BCRC 13638, KCTC 9185, NBRC 100039, NBRC 14480",1,"Actinomadura viridilutea",45
,,,,,50
16970,2991,"DSM 43750, ATCC 49883, IFO 15178, IMET 9705, JCM 7345, NBRC 15178, BCRC 16817, CIP 105486, IFO 15275, IMSNU 22192, INMI 2991, KCTC 9493, NBRC 15275, VKM Ac-1470",0,"Actinomadura viridilutea",50
,,,,,55
16971,,"DSM 43751, VKM Ac-775",0,"Actinomadura viridilutea",50
16972,N2991,"DSM 46178, IMET 9590",0,"Actinomadura viridilutea",50
148,"P2S, PS1","DSM 43014, ATCC 13683, CIP 103258, CCUG 18308, NCTC 11535",1,"Actinomyces bovis",45
137061,,"CIP 104873, NCTC 9429, CCUG 34492",0,"Actinomyces bovis",45
177,"M1327/95/1, M1327/96/1","DSM 15435, CCUG 37421, CIP 106647",1,"Actinomyces bowdenii",45
175,M1192/98/1,"DSM 15415, CCUG 41709, CIP 106507",1,"Actinomyces catuli",45
189,R18165,"DSM 19115, CCUG 48064, CIP 108337, KCTC 15232",1,"Actinomyces dentalis",45
149,Sh8/4303,"DSM 20671, ATCC 43322, NCTC 11490, CCUG 32758, CIP 103126",1,"Actinomyces denticolens",45
159,2-606-032,"DSM 6844, ATCC 23860, CDC W838, CIP 105418, JCM 12963, VPI 12594, CCUG 32936, CCUG 34703",1,"Actinomyces gerencseriae",45
164,8/46-47,"DSM 43322, ATCC 29322, CCUG 32939, WVU 307, CIP 103260",0,"Actinomyces gerencseriae",45
186,,"DSM 15540, CCUG 27294, CIP 105737, CCM 4739",1,"Actinomyces graevenitzii",45
138236,,"CIP 105738, CCUG 29516",0,"Actinomyces graevenitzii",45
151,"Jr 277 (CDC W855)","DSM 43320, ATCC 12102, JCM 12964, CCUG 18307, IMET 10792, CCUG 2271, NIH 277, WVU 46, CIP 103259, KCTC 15377, NCTC 12972",1,"Actinomyces israelii",45
137277,,"CIP 104876, NCTC 10236, CCUG 34502",0,"Actinomyces israelii",45
138098,,"CIP 104874, NCTC 6826, CCUG 34495",0,"Actinomyces israelii",45
138099,,"CCUG 34501, CIP 104875, NCTC 10215",0,"Actinomyces israelii",45
137721,T4G,"CIP 106461, CCUG 32865",0,"Actinomyces lingnae",45
154,,"DSM 43013, ATCC 12104, CCUG 2238, NCTC 10301, CDC W826, JCM 8349, NIH 279, WVU 45, CCUG 18310, CIP 103128",1,"Actinomyces naeslundii",45
153,"Bowden X600S-96, CS 1752, X-600","DSM 17233, ATCC 19039, CCUG 35337, DSM 43325, WVU 447, CDC X-600, JCM 8350, CIP 104837, CIP 82.9, CIP 100654",0,"Actinomyces naeslundii",45
136024,729-85,"CIP 101863",0,"Actinomyces naeslundii",45
136035,981-85,"CIP 102031",0,"Actinomyces naeslundii",45
136096,473-86,"CIP 102471",0,"Actinomyces naeslundii",45
137742,223-83,"CIP 100149",0,"Actinomyces naeslundii",45
137754,982-83,"CIP 100594",0,"Actinomyces naeslundii",45
137852,727-85,"CIP 101864",0,"Actinomyces naeslundii",45
138018,403-82,"CIP 102481",0,"Actinomyces naeslundii",45
138635,480-85,"CIP 101693",0,"Actinomyces naeslundii",45
139080,716-84,"CIP 101115",0,"Actinomyces naeslundii",45
137235,,"CIP 103186",0,"Actinomyces odonlyticus",45
137440,,"CIP 102340",0,"Actinomyces oris",45
137810,371,"CIP 100655, ATCC 19246",0,"Actinomyces oris",45
136504,99-4242,"CIP 106353, CCUG 42377",0,"Actinomyces radicidentis",45
23522,B71,"DSM 27982, CGMCC 1.5030, JCM 13352, CIP 109388, CGMCC 15030",1,"Actinomyces ruminicola",45
,,,,,46
178,,"DSM 15434, CCUG 38702, CIP 106421",1,"Actinomyces urogenitalis",45
135407,,"CIP 100478",0,"Actinomyces urogenitalis",45
137236,723-82,"CIP 103188",0,"Actinomyces urogenitalis",45
137749,820.83,"CIP 100493",0,"Actinomyces urogenitalis",45
157,,"DSM 43327, ATCC 15987, CCUG 14476, NCTC 10951, WVU 745, NIH T-6, JCM 8353, CCUG 35450, CECT 488, CIP 103147, KCTC 15382, NBIMCC 71",1,"Actinomyces viscosus",45
136351,,"CIP 104871, ATCC 15988, NCTC 10952, CIP 104838, JCM 8351, CCUG 34489",0,"Actinomyces viscosus",45
138733,857-82,"CIP 102478",0,"Actinomyces viscosus",45
132566,MB20,"DSM 46746, CECT 8960",1,"Actinophytocola algeriensis",45
