ID,designation_header,strain_number_header,is_type_strain_header,species,"Salt concentration"
136869,,"CIP 103961, ATCC 9220, NCTC 8764, CCUG 2349, LMG 3512, LMG 3468",0,"Achromobacter xylosoxidans",10
,,,,,8
136870,28443,"CIP 103938",0,"Achromobacter xylosoxidans",10
,,,,,8
137238,205-86,"CIP 102236",0,"Achromobacter xylosoxidans",10
,,,,,8
137436,618-86,"CIP 102630",0,"Achromobacter xylosoxidans",10
,,,,,8
137451,761-86,"CIP 102744",0,"Achromobacter xylosoxidans",10
,,,,,8
137546,21-87,"CIP 102768",0,"Achromobacter xylosoxidans",10
137633,1030-85,"CIP 102062",0,"Achromobacter xylosoxidans",10
138417,126-87,"CIP 102864",0,"Achromobacter xylosoxidans",10
,,,,,8
26,Lhet2,"DSM 2389, ATCC 33463, JCM 21277, IAM 14719, IFO 14242, NBRC 14242, NCIMB 11690",1,"Acidiphilium cryptum",7
158421,JS278,"DSM 106790, VTT E-113202",1,"Acidipropionibacterium virtanenii",6.5
2900,P1G31,"DSM 16745, CFBP 3232, CCUG 64016, CIP 107058",1,"Acidovorax anthurii",10
,,,,,6
,,,,,8
2891,,"DSM 7227, ATCC 19860, ICMP 3183, ICPB PA117, NCPPB 1011, CCUG 15838, LMG 2117, CIP 106500, JCM 20985, CFBP 2425, IAM 13658",1,"Acidovorax avenae",10
,,,,,6
,,,,,8
134564,"B 385","CIP 106434, CCUG 15837, ATCC 19307, LMG 2281, ICMP 254, NCPPB 920",0,"Acidovorax avenae",10
,,,,,6
,,,,,8
2902,,"DSM 17101, ATCC 33619, CFBP 2423, ICMP 2826, ICPB PC21, LMG 2364, NCPPB 961, NRRL B835, CCUG 21975, NRRL B-835, CIP 106435, LMG 5286",1,"Acidovorax cattleyae",10
,,,,,6
,,,,,8
2898,,"DSM 12644, CIP 106824, CCUG 49021, BSB 411",1,"Acidovorax defluvii",10
,,,,,6
,,,,,8
2885,"133, FD-6","CCUG 1779, LMG 5943, DSM 64, ATCC 17505, DSM 50263, DSM 50403, CIP 103303, NCIMB 11476",1,"Acidovorax delafieldii",10
,,,,,6
,,,,,8
138350,,"CIP 106437, CCUG 11056, LMG 7166",0,"Acidovorax delafieldii",10
,,,,,6
,,,,,8
138351,,"CIP 106438, CCUG 11062, LMG 7168",0,"Acidovorax delafieldii",10
,,,,,6
,,,,,8
2888,,"DSM 649, ATCC 11228, CCUG 2113, LMG 6221, LMG 2193, CCM 4561, CIP 103302, NCIMB 9938",1,"Acidovorax facilis",10
,,,,,6
,,,,,8
