ID,designation_header,strain_number_header,is_type_strain_header,species,"Salt concentration"
138141,"D 470","CIP 104998",0,"Enterococcus durans",6.5
5292,Tissier,"DSM 20478, ATCC 19433, NCDO 581, NCIB 775, NCTC 775, WDCM 00009, CCUG 19916, JCM 8726, JCM 5803, BCRC 10066, CCM 7000, CECT 481, CGMCC 1.2135, CIP 103015, HAMBI 1711, KCTC 3206, KCTC 3512, LMG 7937, NBIMCC 3360, NBRC 100480, NBRC 100481, NCAIM B.01312, NCIMB 775, VTT E-93203",1,"Enterococcus faecalis",6.5
5279,Portland,"DSM 2570, ATCC 29212, WDCM 00087, CCUG 9997, NCTC 12697, LMG 8146, JCM 7783, BCRC 10789, CCM 4224, CECT 795, CIP 103214, JCM 2875, KCTC 2011, NBRC 100482, NCAIM B.01881, NCCB 100299, NCCB 90047, NCCB 93062, NCIMB 13280, LMG 8222",0,"Enterococcus faecalis",6.5
5284,NJ-3,"DSM 12956, ATCC 51299, WDCM 00085, CCUG 34289, CIP 104676, LMG 16216, CCM 4647, WDCM 00152, CECT 8120, NCTC 13379",0,"Enterococcus faecalis",6.5
5291,10C1,"DSM 20409, ATCC 11700, NCIB 8661, CIP 55.142, CCM 1875, NCIMB 8661",0,"Enterococcus faecalis",6.5
5294,"Bergan strain H","DSM 24916, CCM 2541, WDCM 00176, CIP 106877, CECT 8118",0,"Enterococcus faecalis",6.5
134813,T,"CIP A186",0,"Enterococcus faecalis",6.5
134898,726.86,"CIP 102712",0,"Enterococcus faecalis",6.5
134994,D339,"CIP 76.117",0,"Enterococcus faecalis",6.5
135660,,"CIP A185",0,"Enterococcus faecalis",6.5
135940,1528,"CIP 106996",0,"Enterococcus faecalis",6.5
136374,A38,"CIP 105042, CCUG 27882",0,"Enterococcus faecalis",6.5
136409,JH2,"CIP 106126",0,"Enterococcus faecalis",6.5
137296,"UV 202","CIP 105575",0,"Enterococcus faecalis",6.5
137313,JH2-2,"CIP 106125",0,"Enterococcus faecalis",6.5
137332,"UW 700/95, V583","CIP 106998, ATCC 700802",0,"Enterococcus faecalis",6.5
137435,"H69 D5","CIP 53.152, ATCC 9854",0,"Enterococcus faecalis",6.5
137663,E-48,"CIP 103905",0,"Enterococcus faecalis",6.5
138888,BM6217,"CIP 103907",0,"Enterococcus faecalis",6.5
139057,228bis,"CIP 78.19",0,"Enterococcus faecalis",6.5
139058,228,"CIP 78.14",0,"Enterococcus faecalis",6.5
139527,,"CIP 100750, ATCC 33186, WDCM 00210",0,"Enterococcus faecalis",6.5
5301,,"DSM 20477, ATCC 19434, NCDO 942, NCTC 7171, WDCM 00010, CCUG 542, LMG 8149, LMG 11423, CCM 7167, JCM 5804, BCRC 10067, CECT 410, CFBP 4248, CGMCC 1.2136, CIP 103014, HAMBI 1710, JCM 8727, NBRC 100485, NBRC 100486, NCIMB 11508, VTT E-93204",1,"Enterococcus faecium",6.5
5295,,"DSM 2146, ATCC 6057, WDCM 00177, NBRC 113009, CIP 106742, CCM 2308, CECT 8108",0,"Enterococcus faecium",6.5
134463,,"CIP 54.32",0,"Enterococcus faecium",6.5
134467,887,"CIP 54.33",0,"Enterococcus faecium",6.5
134611,22348/95,"CIP 107099",0,"Enterococcus faecium",6.5
135032,1641/97,"CIP 107387",0,"Enterococcus faecium",6.5
135124,41,"CIP 106915",0,"Enterococcus faecium",6.5
135411,6947,"CIP 104104",0,"Enterococcus faecium",6.5
135412,2519,"CIP 104106",0,"Enterococcus faecium",6.5
135904,"D 460","CIP 105161",0,"Enterococcus faecium",6.5
136576,GR.E.F.,"CIP 107023",0,"Enterococcus faecium",6.5
136601,A17-SV1,"CIP 106701",0,"Enterococcus faecium",6.5
136701,BM4147,"CIP 103510",0,"Enterococcus faecium",6.5
137330,70/90,"CIP 106995",0,"Enterococcus faecium",6.5
137331,"UAA 522, UW 699/95","CIP 106997",0,"Enterococcus faecium",6.5
139460,,"CIP 106876, NCTC 13169, WDCM 00178, CCM 7800, CECT 8293, DSM 109923, WR 63",0,"Enterococcus faecium",6.5
139484,4680,"CIP 104105",0,"Enterococcus faecium",6.5
5314,"F87/276, PB21","DSM 24841, ATCC 49573, JCM 8728, CCUG 18658, NCTC 12359, NCDO 2313, BCRC 15477, CCM 4054, CECT 970, CGMCC 1.2517, CGMCC 1.9125, CIP 103013, DSM 20628, LMG 13129, NBRC 100675, NCIMB 702313, NCTC 11428, VTT E-97776, LMG 11207",1,"Enterococcus gallinarum",6.5
136387,"D 417","CIP 105160",0,"Enterococcus gallinarum",6.5
136575,"UW 701/95, BA 4174","CIP 106999",0,"Enterococcus gallinarum",6.5
136635,2628-95,"CIP 107208",0,"Enterococcus gallinarum",6.5
137163,"PB18, LRA 086 10 84","CIP 103692, ATCC 49608, NCDO 2311, NCTC 12360",0,"Enterococcus gallinarum",6.5
139129,BM4174,"CIP 105985",0,"Enterococcus gallinarum",6.5
5337,PQ1,"DSM 15689, ATCC BAA-350, CCUG 45553, CIP 107662, CCM 7168, NBRC 100696",1,"Enterococcus gilvus",6.5
5341,"Svec 440, 440","CCUG 45916, DSM 15920, CCM 4851, LMG 19487, CIP 107129",1,"Enterococcus haemoperoxidus",6.5
5344,,"DSM 17122, CCUG 48100, CIP 108559, LMG 12317",1,"Enterococcus hermanniensis",6.5
5316,,"DSM 20160, ATCC 8043, CCM 2423, CCUG 18659, CIP 53.48, CIP 82.112, JCM 8729, LMG 6399, NCDO 1258, NCIMB 6459, WDCM 00089, ATCC 9790, BCRC 11054, BCRC 12496, BCRC 80016, CCUG 1332, CCUG 19917, CECT 279, CECT 294, CECT 302, CFBP 4250, CGMCC 1.2140, HAMBI 1709, HAMBI 644, IAM 1262, IFO 3181, KCTC 2022, KCTC 3616, NBRC 3181, NCCB 46070, NCCB 58005, NCIMB 8123, NCIMB 8191, NCTC 12367, VKM B-2107, VTT E-97046, NCDO 997, NCTC 6459",1,"Enterococcus hirae",6.5
5315,"M 19","CCUG 32258, NCIMB 8192, CCM 4533, DSM 3320, ATCC 10541, CIP 58.55, NCIB 8192, WDCM 00011, NBRC 113010, LMG 10274, CECT 4081, NCTC 13383",0,"Enterococcus hirae",6.5
166241,190-7,"NCIMB 15200, CCM 8949",1,"Enterococcus hulanensis",5
5342,"TP 1.5","DSM 15952, CCUG 50447, LMG 22039, CIP 108583",1,"Enterococcus italicus",05-06
,,,,,5
,,,,,6.5
135748,,"CIP 108605, CCM 7220, LMG 21727",0,"Enterococcus italicus",6.5
5317,6,"DSM 20681, ATCC 43197, NCDO 846, CCUG 30572, CCM 4056, JCM 8730, BCRC 17125, CECT 971, CGMCC 1.2493, CIP 103012, HAMBI 1569, KCTC 3641, LMG 10747, NBRC 100489, NCIMB 700846, NCTC 12365",1,"Enterococcus malodoratus",6.5
138613,,"CIP 105126, NCTC 12366, ATCC 49613, NCDO 847",0,"Enterococcus malodoratus",6.5
5340,"Svec 330, 330","DSM 15919, CCM 4856, LMG 19486, CCUG 45913, CIP 107130",1,"Enterococcus moraviensis",6.5
5318,"W 102","DSM 4838, ATCC 43186, NCDO 2375, MUTK 559, CCUG 18656, JCM 8731, BCRC 17141, BCRC 17356, CCM 4058, CECT 972, CIP 103010, HAMBI 1570, KCTC 3630, LMG 10748, NBRC 100490, NCIMB 13132, NCIMB 702375, NCTC 12363",1,"Enterococcus mundtii",6.5
5319,,"DSM 4839, CIP 105008, NCDO 2374, MUTK 564",0,"Enterococcus mundtii",6.5
5320,,"DSM 4840, CIP 105009, NCDO 2377, MUTK 6",0,"Enterococcus mundtii",6.5
166240,94-2,"NCIMB 15180, CCM 8920, LMG 31180",1,"Enterococcus nangangensis",5
5338,PQ2,"CIP 107663, CCM 7169, NBRC 100697, DSM 15690, ATCC BAA-351, CCUG 45554",1,"Enterococcus pallens",6.5
5335,JLB-1,"CCUG 48923, KCTC 3818, DSM 14726, ATCC BAA-412, CIP 108361, NBRC 100711",1,"Enterococcus phoeniculicola",6.5
164673,241-2-2,"JCM 33833, CCM 8921, LMG 31181, NCIMB 15185",1,"Enterococcus pingfangensis",5
,,,,,6
5361,C27,"DSM 26408, CCM 7889, LMG 26214",1,"Enterococcus plantarum",6.50
136415,SS1277,"CIP 105496, LMG 11732",0,"Enterococcus pseudoavium",6.5
5326,"1789/79, 1789-79","DSM 5633, ATCC 49427, NCTC 12192, CCUG 29292, CIP 103329, LMG 12888, JCM 8733, NBRC 100492, CCM 4216, CDC 1789-79, NCAIM B.02061, NCIMB 12901, VTT E-97812",1,"Enterococcus raffinosus",6.5
136416,SS1298,"CIP 105497, LMG 12172",0,"Enterococcus raffinosus",6.5
5336,"DS 2705-87","DSM 15687, ATCC 700914, CCUG 43228, CDC 2705-87, CIP 107173, NCIMB 13635",1,"Enterococcus ratti",6.5
132142,"strain 1971","DSM 102982, CCM 4630, CCUG 61593, LMG 26678",1,"Enterococcus rotai",6.5
5323,"HF 62","DSM 20726, ATCC 43076, CCUG 27643, CCUG 33311, CIP 103246, JCM 8734, LMG 11427, NBRC 100493, NCDO 2594, NCIMB 702594, CCM 4377, CECT 4309, CGMCC 1.2485, HAMBI 1576, KACC 10783, KCTC 3643",1,"Enterococcus saccharolyticus subsp. saccharolyticus",6.5
5349,W442,"DSM 22801, CCM 7319, CCUG 53830, CIP 109179, LMG 23085",1,"Enterococcus silesiacus",6.5
164674,85-4,"JCM 33834, CCM 8923, LMG 31183, NCIMB 15179",1,"Enterococcus songbeiensis",5
5350,"C.J. Portricus UAD1, UAD1","CCM 7300, DSM 22803, CCUG 53831, CIP 109180, LMG 8895",1,"Enterococcus termitis",6.5
132143,,"DSM 102981, CCM 4629, CCUG 48799, LMG 26676",1,"Enterococcus ureilyticus",6.5
135017,88-5474,"CIP 107282, LMG 12287, CCM 4887, CCUG 45025, NBRC 100699, JCM 11557, KCTC 13904",1,"Enterococcus villorum",6.5
5339,"DS 1390-83, Johnson 2757, SS1503","DSM 15688, ATCC 700913, CCUG 43229, CIP 107172, NCIMB 13634",0,"Enterococcus villorum",6.5
158309,MN05,"DSM 104047, CGMCC 1.15942",1,"Enterococcus wangshanyuanii",6.5
17215,"RE35/F12, RE35F12","DSM 14347, ATCC BAA-606, CCUG 48319 B, CECT 7414, CIP 107077, CCUG 48319",1,"Enterovibrio calviensis",10
,,,,,8
17216,R-3710,"DSM 15893, LMG 19839, CCUG 47417, CAIM 430, CIP 108237",1,"Enterovibrio norvegicus",10
,,,,,6
,,,,,8
132372,SW014,"DSM 25033, KCTC 42425, MCCC 1K00500, CAIM 1920, JCM 17855",1,"Veronia pacifica",8
230,M1832/95/2,"CIP 106310, ATCC BAA-57, CCM 4939, DSM 15696, CCUG 38207",1,"Eremococcus coleocola",10
,,,,,6.5
134554,M923/98/1,"CIP 106311, CCUG 39488",0,"Eremococcus coleocola",6.5
5372,"02-143, MF-EP02","DSM 15511, CIP 107935",1,"Erysipelothrix inopinata",10
,,,,,6
,,,,,8
136983,,"CIP 104872, NCTC 4500, CIP 104731",0,"Erysipelothrix rhusiopathiae",10
,,,,,6
,,,,,8
172311,,"CIP 107217",0,"Qipengyuania citrea",10
,,,,,6
,,,,,8
5393,ALC-2,"DSM 12079, CIP 108282, ATCC BAA-386",1,"Erythrobacter cryptus",10
,,,,,6
,,,,,8
5390,ALC-3,"DSM 12080, CIP 108283",0,"Erythrobacter cryptus",10
,,,,,6
,,,,,8
5380,,"DSM 6997, ATCC 33941, IAM 14242, IFO 14126, JCM 6170, NBRC 14126, OCh 101, CECT 5010, CGMCC 1.8459, CIP 104268, KCTC 2829, LMG 3982, LMG 5510, NCIMB 2174",1,"Erythrobacter longus",10
,,,,,6
,,,,,8
133748,HWDM-33,"KCTC 23554, CCUG 60528",1,"Aurantiacibacter marinus",<5
5391,A91,"DSM 11032, ATCC 25659, IAM 12620, ICPB 4167, IFO 15763, NBRC 15763, JCM 20691, LMG 160, NCIMB 1539, CIP 107821",1,"Erythrobacter sanguineus",10
,,,,,6
,,,,,8
136909,022-2-9,"CIP 107841",0,"Qipengyuania vulgaris",10
,,,,,6
,,,,,8
4434,"K12 HB101, HB101","DSM 1607, CIP 102400, ATCC 33694, NCIMB 11865, CRBIP19.4",0,"Escherichia coli",5.25
138010,,"CIP 102770",0,"Escherichia coli",8
1242,N-4,"DSM 2522, ATCC 21833, FERM P-1141, JCM 9156, CIP 109017, FERM 1141",1,"Evansella cellulosilytica",12
,,,,,7.5
1111,"JaH, Ja H","DSM 9768, ATCC 700130, CIP 105292",1,"Evansella vedderi",10
137842,"R 555","CIP 101227",0,"Exiguobacterium acetylicum",6-10
133762,IMTB-3094,"MTCC 10958, JCM 17977",1,"Exiguobacterium mexicanum",<10
139099,"LRA 143 06 89","CIP 103729, ATCC 49676, CCUG 35409",0,"Exiguobacterium aurantiacum",10
,,,,,8
18115,T-2-2,"DSM 17272, JCM 12280, NCIMB 13980, CCUG 51936, CIP 108684, CIP 108634",1,"Exiguobacterium oxidotolerans",6
138280,,"CIP 105962, CCUG 36813, CCM 4931",1,"Facklamia hominis",6.5
138278,7949,"CIP 105963, CCUG 32738, LMG 14693",0,"Facklamia hominis",6.5
136524,,"CIP 106447, CCUG 37659",0,"Facklamia ignava",6.5
138281,1144-97,"CCM 4946, CIP 105964, CCUG 37842",1,"Facklamia languida",6.5
138279,,"CIP 105965, CCUG 39606",0,"Facklamia languida",6.5
132842,"strain A/G13/99/2","ATCC BAA-466, DSM 104273, CCUG 42728, CIP 106764",1,"Facklamia miroungae",6.5
132843,M13582,"DSM 104271, CIP 105940, CCUG 28783 A, ATCC 700629, LMG 18982, Str 2/84, CCUG 28783A",1,"Facklamia sourekii",6.5
138272,,"CIP 105939, CCUG 31976",0,"Facklamia sourekii",6.5
132844,GF112B,"DSM 104272, CCUG 30090, CIP 106117, ATCC 700838, CCM 4934",1,"Ruoffia tabacinasalis",6.5
1409,"CW 7","DSM 25281, CCTCC AB 207188, KCTC 13200, LMG 24451, CIP 109936, BCRC 80032",1,"Falsibacillus pallidus",5.0
,,,,,8.0
3043,,"DSM 15829, ATCC BAA-55, CCUG 38953, CIP 106431, KCTC 15240",1,"Fannyhessea vaginae",6.5
138335,NN037.01,"CIP 106319, CCUG 44156",0,"Fannyhessea vaginae",6.5
138349,,"CIP 106430, CCUG 42099",0,"Fannyhessea vaginae",6.5
166235,WD2A32,"KCTC 52888, MCCC 1H00201",1,"Ferruginivarius sediminum",6.0-8.0
1205,"V2-BIII-A2, V<SUB>2</SUB>-BIII-A<SUB>2</SUB>","DSM 14730, CCM 4982, CIP 108015",1,"Fictibacillus barbaricus",10
,,,,,6
,,,,,8
1218,R-13853,"DSM 15865, LMG 21880",1,"Fictibacillus gelatini",15
132548,,"DSM 100124, KCTC 33758, MCC 2765, AS 8",1,"Fictibacillus halophilus",5
1285,YC1,"DSM 25243, CGMCC 1.6854, KCTC 13181, JCM 14863, BCRC 80435",1,"Fictibacillus solisalsi",7.5
166480,TB-66,"CIP 111629, LMG 30660, CCM 8866, DSM 107336",1,"Filibacter tadaridae",6
132574,772,"DSM 100760, CGMCC 1.15290",1,"Filimonas zeae",5
1326,"SH 714","DSM 13259, ATCC 700960, JCM 12288, CIP 107088",1,"Filobacillus milosensis",10
,,,,,6
,,,,,8
163089,,"JCM 21138, ATCC 23126, CIP 104807, IAM 14298, IFO 15941, NBRC 15941, NRRL B-14729",1,"Flammeovirga aprica",10
,,,,,6
,,,,,8
5517,"F 36, Taylor F36","DSM 1132, ATCC 11947, CIP 55.141, DSM 30095, NCIB 8694, CCUG 29304, NCIMB 8694, JCM 20475, CCEB 768, CIP 103744, IAM 12316, LMG 2952, LMG 4008, LMG 4427, NBRC 15052, NCMB 644, NCTC 9758, NRRL B-14834, VKM B-1173, IFO 15052",1,"Flavobacterium aquatile",10
,,,,,6
,,,,,8
136420,,"CIP 105534, ATCC 29585, LMG 1342, UASM B-2-25",0,"Flavobacterium bizetiae",10
,,,,,6
,,,,,8
136421,,"CIP 105535, ATCC 29586, UASM E-1-25",0,"Flavobacterium bizetiae",10
,,,,,6
,,,,,8
133366,wh15,"CCTCC AB 2015420, JCM 31173",1,"Myroides cloacae",5
5513,A-34,"DSM 1076, ATCC 27944, IAM 14303, JCM 21143, ACAM 579, CCM 2740, CCUG 14832, CIP 104740, IFO 14960, LMG 8328, NBRC 14960, NCIMB 12056",1,"Flavobacterium flevense",10
,,,,,6
,,,,,8
5543,"NICMB 13737, A2i","DSM 17623, ATCC 700810, CIP 107124, NBRC 102676, NCIMB 13737",1,"Flavobacterium frigidarium",10
,,,,,6
,,,,,8
5537,R-9014,"DSM 15719, CIP 108385, LMG 21922",1,"Flavobacterium frigoris",10
,,,,,6
,,,,,8
5541,,"DSM 16209, CIP 108325, LMG 22022",1,"Flavobacterium fryxellicola",10
,,,,,6
,,,,,8
5532,R-8899,"DSM 15343, LMG 21477, CIP 108171",1,"Flavobacterium gelidilacus",10
,,,,,6
,,,,,8
5547,KW05,"DSM 17797, IAM 15099, JCM 21560, KCTC 12201, NBRC 102009, DSM 19729, CIP 108709",1,"Flavobacterium granuli",10
,,,,,6
,,,,,8
5531,LCI,"DSM 12611, ACAM 376, ATCC 51468, CIP 105745",1,"Flavobacterium hibernum",10
,,,,,6
,,,,,8
5512,N,"DSM 2063, ATCC 29551, CCUG 35201, NCIMB 2215, LMG 8385, Cy aq1, CIP 104741, Cy aq 1",1,"Flavobacterium hydatis",10
5515,"UW 101","CCUG 35202, NCIMB 11054, LMG 1341, CFBP 3036, CIP 100931, JCM 8514, DSM 2064, ATCC 17061, IAM 14304, IFO 14942, NBRC 14942, NCIB 11054, Cy j3, MYX 1.1.1, BCRC 14874, GIFU 2500, LMG 1340, NCCB 96103, MYX 1.1.1.",1,"Flavobacterium johnsoniae subsp. johnsoniae",10
,,,,,6
,,,,,8
158639,WV39,"KCTC 42908, CECT 9085",1,"Flavobacterium kingsejongi",6
5535,ST-82,"DSM 15094, JCM 11473, CCUG 58906, LMG 21930, CIP 107957, KCTC 12494, NBRC 103156",1,"Flavobacterium limicola",10
,,,,,6
,,,,,8
5544,R-9192,"DSM 17659, CIP 108161, LMG 21919, KCTC 2284",1,"Flavobacterium micromati",10
,,,,,6
,,,,,8
5555,ZF-8,"DSM 19742, AS 1.2747, JCM 11313, CGMCC 1.2747, CIP 108050, KCTC 12490",1,"Flavobacterium omnivorum",10
,,,,,6
,,,,,8
5528,81,"DSM 6368, ATCC 19366, IAM 14307, NCIB 9059, Dorey 81, Cy p1, JCM 8518, CIP 104742, IFO 15945, LMG 4031, LMG 8366, NBRC 15945, NCIMB 9059, VKM B-1171",1,"Flavobacterium pectinovorum",10
,,,,,6
,,,,,8
5540,R-7582,"DSM 16141, CIP 108326, LMG 22018, KCTC 22843",1,"Flavobacterium psychrolimnae",10
,,,,,6
,,,,,8
5530,"TG 02/86","DSM 21280, ATCC 49511, CIP 103535, JIP 02/86",0,"Flavobacterium psychrophilum",10
,,,,,6
,,,,,8
5516,024,"DSM 1811, IAM 14309, NCMB 2072, JCM 8520, ACAM 581, ATCC 49530, CIP 104743, IFO 15944, LMG 8384, NBRC 15944, NCIMB 2072",1,"Flavobacterium saccharophilum",10
,,,,,6
,,,,,8
5526,8,"DSM 4002, IAM 14311, IFO 14905, NBRC 14905, Cy su3, JCM 21151, BCRC 81041, CIP 104744, LMG 10402, NCIMB 2277, Cy su 3",1,"Flavobacterium succinicans",10
,,,,,6
,,,,,8
5554,,"DSM 22377, ACAM 602, LMG 21423, CCUG 58907, CIP 107447",1,"Flavobacterium tegetincola",10
,,,,,6
,,,,,8
5542,5-O-C,"DSM 3661, ACAM 81, IAM 12026, NCMB 2069, JCM 20358, IFO 14972, LMG 8372, NBRC 14972, NCIMB 2069, CIP 107448",1,"Flavobacterium xanthum",10
,,,,,6
,,,,,8
5556,ZF-6,"DSM 19743, AS 1.2749, JCM 11314, CGMCC 1.2749, CIP 108285, KCTC 12491",1,"Flavobacterium xinjiangense",10
,,,,,6
,,,,,8
137673,,"CIP 104803, ATCC 23162, IFO 15976, NCIMB 1443, JCM 21384, IAM 14894, LMG 8376, NBRC 15976",0,"Flexibacter aggregans",10
,,,,,6
,,,,,8
167595,BO-16,"KACC 19647, LMG 30859",1,"Flexivirga caeni",5
158536,HibF3,"LMG 29831, JCM 31735",1,"Floricoccus penangensis",5
,,,,,6.5
158537,DF1,"LMG 29833, JCM 31733",1,"Floricoccus tropicus",5
,,,,,6.5
133644,,"DSM 21935, ACCC 10716, YIM D17",1,"Fodinibius salinus",10-15
5588,"M-2Alg 35-1","DSM 15362, KCTC 12365, LMG 23005, KMM 3901, DSM 19837",1,"Formosa agariphila",7-8
140267,AT2,"DSM 100451, CSUR P2014",1,"Allofournierella massiliensis",10
7325,801,"DSM 10309, ATCC BAA-3, JCM 11265, KCTC 39911, CIP 107823, IAM 15122, NBRC 103066, VKM Ac-2505",1,"Frigoribacterium faeni",10
,,,,,8
6696,F9-1,"DSM 22689, JCM 16035, NRIC 0771",1,"Fructilactobacillus florum",5
6864,D-24,"DSM 19113, CCUG 49949, CIP 108761, LAB 1679, LMG 22556, JCM 17831, BCRC 81233, CECT 7089, NRIC 0663",1,"Fructobacillus durionis",8
5993,"Z-7100, Z7100","DSM 24880, VKM B-2667",1,"Fuchsiella alkaliacetigena",7.75
160169,"JZ R-183","DSM 107700, LMG 30902",1,"Galactobacter caseinivorans",10
160213,"JZ-R-35, JZ R-35","DSM 107699, LMG 30901",1,"Galactobacter valiniphilus",8
17912,CEE_131,"DSM 21945, CECT 7479",1,"Gallaecimonas pentaromativorans",<7
1757,594,"DSM 4944, ATCC 14018, CCUG 3717, NCTC 10915, NCTC 10287, LMG 7832, JCM 11026, BCRC 17040, CIP 70.74, KCTC 5096, LMG 14323",1,"Gardnerella vaginalis",10
,,,,,6
,,,,,8
134735,448,"CIP 57.37",0,"Gardnerella vaginalis",10
,,,,,6
,,,,,8
134939,,"CIP 102763",0,"Gardnerella vaginalis",10
,,,,,6
,,,,,8
135015,132.87,"CIP 102878",0,"Gardnerella vaginalis",10
,,,,,6
,,,,,8
135019,154.87,"CIP 102888",0,"Gardnerella vaginalis",10
,,,,,6
,,,,,8
135327,"AmMS 117","CIP 103660, ATCC 49145",0,"Gardnerella vaginalis",10
,,,,,6
,,,,,8
137783,585.85,"CIP 101815",0,"Gardnerella vaginalis",10
,,,,,6
,,,,,8
137906,66-86,"CIP 102161",0,"Gardnerella vaginalis",10
,,,,,6
,,,,,8
134131,IC158,"ACAM 1054, CIP 108531",1,"Gelidibacter gilvus",10
,,,,,6
,,,,,8
5598,2SM29,"DSM 14095, ATCC BAA-813, CECT 5103, CCUG 47181, CIP 107655",1,"Gelidibacter mesophilus",10
,,,,,8
134132,IC162,"ACAM 1053, CIP 108532",1,"Gelidibacter salicanalis",10
,,,,,8
18122,M60449/99/1,"DSM 15828, CCUG 42726, CIP 106481, ATCC BAA-287",1,"Gemella cuniculi",6.5
138670,"Neisseria haemolysans","CIP 101126, ATCC 10379, NCTC 12968, CCUG 37985, DSM 107751, LMG 18984",1,"Gemella haemolysans",6.5
137219,"729.12.81, 72.82","CIP 102937",0,"Gemella haemolysans",6.5
137691,262-83,"CIP 100166",0,"Gemella haemolysans",6.5
137841,868.84,"CIP 101215",0,"Gemella haemolysans",6.5
138570,485.83,"CIP 100301",0,"Gemella haemolysans",6.5
138630,131.85,"CIP 101435",0,"Gemella haemolysans",6.5
138716,320-86,"CIP 102345",0,"Gemella haemolysans",6.5
138764,184.87,"CIP 102925",0,"Gemella haemolysans",6.5
18121,"2917 B","DSM 20572, ATCC 27824, JCM 12968, VPI 5424, CCUG 15561, CCUG 18164, CECT 991, CIP 81.10, LMG 18985, NCDO 2228, NCIMB 702228, NCTC 11323",1,"Gemella morbillorum",6.5
135122,M663-98-1,"CIP 106318, CCUG 39489, ATCC BAA-58",1,"Gemella palaticanis",6.5
138271,2045-94,"CIP 105929, CCUG 37820, CCM 4941",1,"Gemella sanguinis",6.5
138268,,"CIP 105930, CCUG 24073",0,"Gemella sanguinis",6.5
138269,B57352,"CIP 105931, CCUG 33602",0,"Gemella sanguinis",6.5
130339,Red1,"DSM 29995, DSM 23483, JCM 15104, JCM 30610, DSM 28483, KCTC 5626",1,"Geoalkalibacter subterraneus",<10
1452,"DS1, R-35651","DSM 15726, LMG 23069, VKM B-2301",1,"Geobacillus jurassicus",5.0
,,,,,5.0-5.5
1419,"R-35646, 26","DSM 22, ATCC 12980, CCM 2062, CCUG 26241, IAM 11062, LMG 6939, NBRC 12550, NCIMB 8923, NCTC 10339, VKM B-2231, IFO 12550, NCA 26, JCM 2501, BCRC 11092, CIP 66.23, KCTC 1665, KCTC 1752, NCFB 1768, NRRL B-1172, VKM B-510, VTT E-81128, UCCCB118, NCDO 1768",1,"Geobacillus stearothermophilus",10
,,,,,5
,,,,,5.0
,,,,,6
,,,,,8
1420,"N.R. Smith T17, 1518","DSM 5934, ATCC 7953, NCA 1518, NCIB 8157, NCTC 10007, JCM 9488, BCRC 10285, CCUG 621, CIP 52.81, IAM 11002, IFO 13737, LMG 13578, NBRC 13737, NCFB 733, NCIMB 8157, NCIMB 8925, VKM B-715, NCDO 733",0,"Geobacillus stearothermophilus",10
,,,,,6
,,,,,8
1421,T15,"DSM 6790, ATCC 10149, WDCM 00069, CCUG 620, JCM 11297, CGMCC 1.6483, CIP 105453, IAM 11004, CCM 5965, LMG 17962, CECT 4517",0,"Geobacillus stearothermophilus",10
,,,,,6
,,,,,8
1444,10,"DSM 13240, CIP 106956",0,"Geobacillus stearothermophilus",10
,,,,,6
,,,,,8
1448,C953,"CCUG 34144, HNCMB 101025, LMG 11163, DSM 1550, JCM 12216, CIP 67.5, IAM 12043, JCM 14450, NBIMCC 2330, NBRC 100862, NCDO 1780, NCIMB 11780",0,"Geobacillus stearothermophilus",10
,,,,,6
,,,,,8
1422,"R-35648, 178","DSM 730, BGSC 93, IFO 15316, LMG 19007, NBRC 15316, VKM B-1259",1,"Geobacillus thermocatenulatus",5.0
,,,,,7.0
1439,3S-1,"DSM 13174, CIP 106305, JCM 12214, KCTC 3847",1,"Geobacillus vulcani",10
,,,,,5.0
,,,,,6
,,,,,8
18133,BH1,"DSM 21769, JCM 15647",1,"Geomicrobium halophilum",05-25
,,,,,12.5
1775,,"DSM 21365, CCTCC AB 208144, JCM 17810, YIM 93316, NBRC 107839",1,"Georgenia halophila",7.5
1771,1A-C,"DSM 14418, CCM 4963, JCM 12241, CIP 107920, NBRC 103560",1,"Georgenia muralis",10
,,,,,5
,,,,,6
,,,,,7
,,,,,8
1773,,"DSM 17458, CCTCC AB 204065, KCTC 19029, NBRC 103883, YIM 004, JCM 15130",1,"Georgenia ruanii",>5
23795,"JC82, 5NBRC 107612","DSM 27632, KCTC 19802, NBRC 107612",1,"Georgenia satyanarayanai",<5
1776,CC-NMPT-T3,"DSM 21838, CCM 7658, NBRC 107791, CCUG 57735, JCM 17968",1,"Georgenia soli",7.5
1774,"TT 02-04","DSM 21501, NBRC 104148",1,"Georgenia thermotolerans",<10
134675,,"CIP 107877, ATCC 35958, NCIMB 9012, NRRL B-2067, CCUG 49446, IAM 14948, IFO 14917, ATCC 11879, ATCC 19259, JCM 21430, NBRC 14917",1,"Giesbergeria anulus",10
,,,,,6
,,,,,8
2958,,"DSM 9157, ATCC 11334, NCIB 9073, NRRL B-2060, JCM 21431, IAM 14949, IFO 13959, LMG 4331, NBRC 13959, NCIMB 9073, CIP 107316",1,"Giesbergeria giesbergeri",10
,,,,,6
,,,,,8
135031,,"CIP 107315, NCIMB 8230, ATCC 9785, NRRL B-2061",0,"Giesbergeria giesbergeri",10
,,,,,6
,,,,,8
