reference_id,homolog_id,sequence_identity,alignment_length,mismatches,gap_openings,query_start,query_end,target_start,target_end,e_value,bit_score,rmsd,tm_score,rmsd_bindingsite,n_bindingsite_residues,n_aligned_residues,aligned_fraction
Ort-RDM-1_3,GBF63150,0.344,292,182,0,10,287,9,300,6.293E-37,136,2.38,0.85489,0.6491312980651855,47.0,35.0,0.7446808510638298
Ort-RDM-1_3,EEQ37269,0.337,324,212,0,10,333,4,324,6.142E-35,130,2.29,0.85792,0.43375471234321594,45.0,38.0,0.8444444444444444
Ort-RDM-1_3,KIO03511,0.331,328,209,0,1,314,1,328,8.332E-35,130,2.88,0.82955,0.5883694291114807,50.0,36.0,0.72
Ort-RDM-1_3,ODN75553,0.331,275,178,0,1,267,1,275,1.130E-34,129,2.4,0.83268,0.4218328297138214,46.0,33.0,0.717391304347826
Ort-RDM-1_3,KIY00742,0.346,224,143,0,1,224,1,219,7.030E-34,127,3.32,0.7745,0.4825465679168701,48.0,26.0,0.5416666666666666
Ort-RDM-1_3,EMG50559,0.309,327,225,0,8,334,3,328,4.363E-33,124,2.69,0.85041,0.3232283294200897,47.0,29.0,0.6170212765957447
Ort-RDM-1_3,EXF74267,0.326,326,215,0,10,329,4,329,1.086E-32,123,2.21,0.86072,0.45528051257133484,48.0,31.0,0.6458333333333334
Ort-RDM-1_3,EEQ38647,0.327,305,204,0,10,314,4,307,1.232E-31,120,2.17,0.85733,0.37888407707214355,47.0,33.0,0.7021276595744681
Ort-RDM-1_3,KGT67521,0.334,319,205,0,6,314,3,321,1.668E-31,120,2.58,0.85874,0.4257112443447113,46.0,32.0,0.6956521739130435
Ort-RDM-1_3,EDK39148,0.331,279,185,0,8,286,3,279,1.391E-30,117,2.57,0.86784,0.40399274230003357,47.0,32.0,0.6808510638297872
Ort-RDM-1_3,ODV67907,0.337,275,181,0,8,281,5,279,1.391E-30,117,2.61,0.85548,0.4295079708099365,45.0,28.0,0.6222222222222222
Ort-RDM-1_3,EMG50561,0.318,332,222,0,8,334,5,336,1.391E-30,117,2.7,0.83784,0.44403207302093506,44.0,32.0,0.7272727272727273
Ort-RDM-1_3,CAX41646,0.318,319,210,0,6,314,3,321,2.547E-30,116,2.51,0.8619,0.4629102051258087,44.0,31.0,0.7045454545454546
