reference_id,homolog_id,sequence_identity,alignment_length,mismatches,gap_openings,query_start,query_end,target_start,target_end,e_value,bit_score,rmsd,tm_score
Ssal-KRED,EEQ37269,0.328,322,214,0,14,335,4,322,1.619E-41,150,2.47,0.86043
Ssal-KRED,KIO03511,0.336,334,214,0,12,335,8,341,1.887E-40,147,2.88,0.83778
Ssal-KRED,KZT58659,0.315,328,223,0,12,339,10,336,1.188E-39,144,2.18,0.87956
Ssal-KRED,EXF74267,0.307,330,224,0,14,337,4,333,1.591E-37,138,2.55,0.85198
Ssal-KRED,ODN75553,0.318,339,224,0,8,336,4,342,7.331E-37,136,2.61,0.84507
Ssal-KRED,OIW25712,0.308,326,225,0,14,339,19,344,3.373E-36,134,2.75,0.81605
Ssal-KRED,EDK39148,0.316,278,187,0,14,291,5,279,3.866E-35,131,2.83,0.86912
Ssal-KRED,CCE78191,0.315,309,208,0,14,318,4,312,7.109E-35,130,2.63,0.85055
Ssal-KRED,EEQ38647,0.297,324,224,0,14,337,4,322,4.413E-34,128,2.49,0.8577
Ssal-KRED,EXU95441,0.328,281,187,0,11,291,5,283,4.413E-34,128,2.59,0.84183
Ssal-KRED,EGW32862,0.301,324,225,0,14,337,6,328,2.017E-33,126,2.75,0.85444
Ssal-KRED,ABN64930,0.288,308,216,0,14,318,6,313,2.017E-33,126,2.72,0.85352
Ssal-KRED,EDK41009,0.310,331,225,0,14,340,5,335,2.017E-33,126,2.58,0.85514
Ssal-KRED,GBF63150,0.320,295,191,0,10,291,5,299,5.017E-33,124,2.4,0.8665
Ssal-KRED,EDK41061,0.315,304,206,0,14,317,5,306,6.796E-33,124,2.58,0.84968
Ssal-KRED,EER35045,0.298,331,227,0,14,337,6,336,6.796E-33,124,2.72,0.85415
Ssal-KRED,KGT67521,0.289,341,235,0,8,338,1,341,9.206E-33,124,2.88,0.85703
Ssal-KRED,ORY92490,0.306,319,214,0,13,322,8,326,9.206E-33,124,2.8,0.81933
Ssal-KRED,OAL74534,0.315,337,224,0,10,337,5,341,1.689E-32,123,2.63,0.84711
Ssal-KRED,EGW30505,0.315,310,208,0,14,318,5,314,2.287E-32,123,2.57,0.85648
Ssal-KRED,ODV76726,0.304,329,221,0,12,340,2,320,2.287E-32,123,2.72,0.83489
Ssal-KRED,KRZ99698,0.294,331,230,0,14,340,4,334,3.097E-32,122,2.74,0.85079
Ssal-KRED,CAX41646,0.292,341,234,0,8,338,1,341,5.678E-32,121,2.76,0.86203
Ssal-KRED,EDK39163,0.298,324,225,0,14,337,4,325,1.907E-31,120,2.52,0.86238
Ssal-KRED,EMG50733,0.296,335,227,0,14,337,6,340,1.907E-31,120,2.64,0.85714
Ssal-KRED,EMG50561,0.281,334,233,0,14,338,7,340,1.907E-31,120,2.98,0.83711
Ssal-KRED,EMG50750,0.298,325,222,0,14,338,6,322,2.581E-31,119,2.75,0.85308
Ssal-KRED,CCC13794,0.290,358,227,0,18,338,12,369,2.581E-31,119,3.05,0.74522
Ssal-KRED,ABN66052,0.312,326,222,0,14,337,4,329,3.493E-31,119,2.66,0.85427
Ssal-KRED,EEQ40618,0.314,278,189,0,14,291,5,280,3.493E-31,119,2.7,0.84279
Ssal-KRED,CCG24478,0.290,295,209,0,14,308,5,299,6.396E-31,118,2.88,0.83244
Ssal-KRED,KGT70745,0.286,334,236,0,6,336,2,335,8.654E-31,118,2.67,0.8576
Ssal-KRED,EGW34746,0.303,324,224,0,14,337,6,328,1.171E-30,117,2.65,0.85624
